тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о переоформлении,ООО,Акцент,"Забайкальский край, г. Чита, ул. Недорезова, 32",1057536116351,7536065002,753601001,отдел в магазине,Читинский район,оз. Арахлей,"мкр. Восточный, вл. 02/03",0548,29-Feb-12,03-Apr-12,16-Aug-11,16-Aug-12,75 Ме,002903,,,,Прекращена,,367200; 89644656416,Стифутина Л.А.
о продлении,ООО,Тодес,"Читинская область, Борзинский район, г. Борзя, ул. Горького, 11-а",,7529010468,752901001,"отдел в магазине ""Иваныч""",Борзинский район,г. Борзя,"г. Борзя - 3, д.10, кв.63",0482,,21-Jul-11,16-Aug-11,16-Aug-12,75МЕ,002430,ВВ,001301,,Прекращена,,,
о продлении,ООО,Виктория,"Забайкальский край, г. Чита, ул. Белорусская, д. 7",1057536128210,7536065972,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Белорусская, д. 7",0529,,12-Aug-11,16-Aug-11,16-Aug-12,75МЕ,002487,,,,прекращена,,,
о продлении,ООО,ФЕНИКС,"Забайкальский край, Ононский район, с. Нижний Цасучей, ул. Комсомольская, 86",1067515004974,7516002692,751601001,магазин,Ононский район,с. Нижний Цасучей,"ул. Комсомольская, 86",0545,,16-Aug-11,16-Aug-11,16-Aug-12,75 ме,002492,,,,Прекращена,,,
о продлении,ООО,Темп,"Забайкальский край, Александрово-Заводский район, с. Александровский Завод, пер. Школьный, д. 14",1067505006722,7502002283,750201001,отдел в магазине,Александрово-Заводский район,с. Александровский Завод,"ул. Стрелкова, д. 41",0537,,12-Aug-11,17-Aug-11,17-Aug-12,75МЕ,002482,,,,прекращена,,"89144444449, 83024021400",
о продлении,ООО,Дарья,"Забайкальский край, Оловяннинский район, п. Оловянная, ул. Станционная, 26",1057515014380,7515005884,751501001,павильон,Оловяннинский район,п. Ясногорск,"ул. Ленина, 7",0520,,09-Aug-11,18-Aug-11,18-Aug-12,75МЕ,002465,,,,Прекращена,,89145078491,
о продлении,ООО,Блик,"Забайкальский край, Читинский район, с. Домна, ул. Шоссейная, дом 5",1067536043024,7536070404,753601001,магазин,Читинский район,с. Домна,"ул. Шоссейная, 5",0549,,19-Aug-11,19-Aug-11,19-Aug-12,75 ме,002498,,,,Прекращена,,89244720965,
о продлении,ООО,Птица,"Забайкальский край, г. Чита, ул. Ленина, д. 24",1067536043805,7536070997,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Ленина, д. 24",0523,,10-Aug-11,19-Aug-11,19-Aug-12,75МЕ,002468,ВВ,001337,,Прекращена,,"410953, 89145205064",
о продлении,ООО,Зенит,"Забайкальский край, г. Чита,ул. Ватутина, 27",1067536044542,7536071430,753601001,"отдел в магазине ""Зенит""",г. Чита,г. Чита,"ул. Ватутина, 27",0515,,08-Aug-11,19-Aug-11,19-Aug-12,75МЕ,002460,ВВ,001328,,прекращена,,"209135, 89245086457",
о продлении,ООО,Малхан,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Ключевская, 29",1027500599741,7509000302,750901001,"магазин ""Малхан""",Красночикойский район,с. Архангельское,"уд. Колхозная, д. 21",0465,,21-Jul-11,19-Aug-11,19-Aug-12,75МЕ,002416,ВВ,001285,,Прекращена,,,
о продлении,ООО,Капитал,"Забайкальский край, г. Чита, ул. Магистральная, д. 50",,7536071542,753601001,отдел в павильоне,г. Чита,г. Чита,"ул. Магистральная, д. 50",0505,,05-Aug-11,19-Aug-11,19-Aug-12,75МЕ,002445,ВВ,001317,,Прекращена,,,
о выдаче,ООО,Восток,"Читинская область, Чернышевский район, п. Чернышевск, ул. Центральная, д. 11 б",,7525005499,752501001,"отдел в магазине ""Приличный""",Чернышевский район,пгт. Чернышевск,"ул. Центральная, д. 11 б",826,,22-Aug-07,22-Aug-07,21-Aug-12,75МЕ,000951,В,000986,,Прекращена,,,
о переоформлении,ООО,Энергетик,"Читинская область, г. Чита, ул. Энтузиастов, д.76",1077536008043,7536082431,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Энтузиастов, д.76, пом.57 (изменение типа с 26.08.2009)",827,26-Aug-09,22-Aug-07,22-Aug-07,21-Aug-12,,,,,,Прекращена,,,
о выдаче,ООО,Баясхаланов,"Забайкальский край, Могойтуйский район, п. Могойтуй, ул. Первомайская, 37 а",1078080001450,8003038487,800301001,"магазин ""Юбилейный""",Могойтуйский район,п. Могойтуй,"ул. Первомайская, 37 а",0009,,24-Aug-07,24-Aug-07,24-Aug-12,,,,,,Прекращена,,,
о продлении,ООО,Байк,"Забайкальский край, г. Чита, ул. Матвеева, 35",1067536043178,7536070556,753601001,отдел в магазине,г. Чита,г. Чита,"жилищный поселок ""Ясный""",0534,,12-Aug-11,26-Aug-11,26-Aug-12,75МЕ,002479,,,,Прекращена,,318591,
о продлении,ООО,Ангир,"Забайкальский край, г. Чита, ул. Бабушкина, д. 52, кв. 20",1047550028118,7537015580,753701001,бар,г. Чита,г. Чита,"ул. Бабушкина, д. 50",0522,,09-Aug-11,26-Aug-11,26-Aug-12,75МЕ,002467,ВВ,001335,,прекращена,,"268761, 89145210455",Шведун А.А.
о переоформлении,ООО,Скит,"г. Чита, ул. Новобульварная. 2",1067536036930,7536069303,753601001,отдел в магазине,г. Чита,г. Чита,"Ингодинский район, ул. Лазо, 22-б",0560,27-Oct-11,26-Aug-11,26-Aug-11,26-Aug-12,,,,,,Прекращена,,,
о выдаче,ООО,Виро,"Забайкальский край, г. Чита, ул. Дачная, д. 42, квартира № 2",1117536004629,7536119000,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Песочная, 43",0556,,25-Aug-11,26-Aug-11,26-Aug-12,75МЕ,002505,,,,прекращена,,,
о выдаче,ООО,Купец,"Забайкальский край, Балейский район, с.Унда, ул.Новая, д.16",1097527000372,7528005440,752801001,отдел в магазине,Балейский район,с. Унда,"ул.Первомайская, 57-А",0557,,26-Aug-11,26-Aug-11,26-Aug-12,75 ме,002506,,,,Прекращена,,,
о продлении,ООО,Ирина +,"Забайкальский край, г. Чита, ул. Недорезова, 32",1107536004487,7536111883,753601001,магазин,г. Чита,г. Чита,"ул. Недорезова, 1",0541,,12-Aug-11,27-Aug-11,27-Aug-12,75МЕ,002486,,,,прекращена,,367200,
о выдаче,ООО,Рассвет,"Читинская область, г. Чита, ул. Космонавтов, 4",,7537001121,753701001,магазин,г. Чита,г. Чита,"ул. Космонавтов, 4",828,,29-Aug-07,29-Aug-07,28-Aug-12,75МЕ,000953,В,000988,,Прекращена,,,
о выдаче,ООО,Евро-Строй,"Читинская область, г. Краснокаменск, 2-5 мкр, а/я 170",,7530011441,753001001,"кафе ""Гостиная""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"1 мкр., здание кассы кинотеатра ""Даурия""",832,,30-Aug-07,30-Aug-07,29-Aug-12,75МЕ,000961,В,000996,,Прекращена,,,
о выдаче,ООО,Даурия,"Забайкальский край, г. Чита, ул. Профсоюзная, д.17",1117536000900,7536116433,753601001,организация общественного питания (бар),г. Чита,г.Чита,"ул. Профсоюзная, д.17, пом.10",0367,,29-Aug-12,30-Aug-12,30-Aug-12,75МЕ,003295,,,,Прекращена,hotel-dauria@mail.ru,89143664904,Пономарева Наталья Анатольевна
о выдаче,ООО,Тонких В.А.,"Читинская область, Нерчинско-Заводский район, с. Явленка, ул. Школьная, д.2",,7514002908,751401001,"магазин ""Багульник""",Нерчинско-Заводский район,с. Явленка,"ул. Школьная, д.2",830,,31-Aug-07,31-Aug-07,30-Aug-12,75МЕ,000958,В,000993,,прекращена,,,
о выдаче,ООО,Пламя,"Забайкальский край, г. Балей, ул. Ведерникова, 14",1107572000228,7528005602,752801001,магазин,Балейский район,г. Балей,"ул. Ведерникова, 14",0567,,31-Aug-11,31-Aug-11,31-Aug-12,75МЕ,002517,,,,Прекращена,,,
о продлении,ООО,Алмико,"Забайкальский край, г. Могоча, ул. Кирова, 19",1067527004236,7512004473,751201001,"павильон ""Космос - 1""",Могочинский район,г. Могоча,"ул. Интернациональная, 6 л",0566,,31-Aug-11,01-Sep-11,01-Sep-12,75МЕ,002516,,,,Прекращена,,89145182660,Кашанян Р.А.
о продлении,ООО,Фортуна,"Забайкальский край, Тунгокоченский район, п. Вершино-Дарасунский, ул. Лесная, 5",1067527004038,7521003525,752101001,отдел в магазине,Тунгокоченский район,п. Вершино-Дарасунский,"ул. Ленина, 3-а",0536,,12-Aug-11,01-Sep-11,01-Sep-12,75МЕ,002481,,,,Прекращена,,89144470007,
о продлении,ООО,Дебют,"Забайкальский край, г. Чита, ул. Украинский Бульвар, пом. 20 А",1107536003255,7536110600,753601001,павильон,г. Чита,г. Чита,"ул. Украинский бульвар, пом. 20 А",0564,,30-Aug-11,01-Sep-11,01-Sep-12,75 ме,2513,,,,Прекращена,,,
о продлении,ООО,Смайл,"Забайкальский край, Борзинский район, г. Борзя, ул. Матросова, 23а",1067505006502,7529010651,752901001,отдел в магазине,Борзинский район,г. Борзя,"ул. Гурьева, 18",0531,,12-Aug-11,02-Sep-11,02-Sep-12,75МЕ,002475,,,,Прекращена,mpkborzia@yandex.ru,89145247444,
о переоформлении,ООО,Таис,"Забайкальский край, Петровск-Забайкальский район, п. Баляга, ул. Шоссейная, 4-в",1027501100989,7517000183,751701001,магазин,Петровск-Забайкальский район,п. Баляга,"ул. Клубная, 5",0570,31-Oct-11,02-Sep-11,02-Sep-11,02-Sep-12,75МЕ,002682,,,,прекращена,,"83023642385, 89144864870",
о выдаче,ООО,Магистраль,"Забайкальский край, г. Чита, ул. Бабушкина, 34-а",1077536008868,7536083210,753601001,магазин,г. Чита,г. Чита,"ул. Бабушкина, 34-а",0579,,02-Sep-11,02-Sep-11,02-Sep-12,75МЕ,002531,,,,Прекращена,,,
о продлении,ООО,Родник,"Забайкальский край, Тунгокоченский район, п. Вершино-Дарасунский, ул. Ленина, 2-б",1067527003840,7521003500,752101001,отдел в магазине,Тунгокоченский район,п. Вершино-Дарасунский,"ул. Октябрьская, 1",0568,,02-Sep-11,02-Sep-11,02-Sep-12,75МЕ,002519,,,,Прекращена,,,
о выдаче,ПО,Родник,"Забайкальский край, г. Балей, ул. Ведерникова, 14, офис 13",1097527000042,7528005320,752801001,отдел в магазине,Балейский район,с. Матусово,"ул. Центральная,16-в",0581,,02-Sep-11,02-Sep-11,02-Sep-12,75МЕ,002533,,,,Прекращена,,,
о продлении,ООО,КиМ,"Забайкальский край, г. Чита, 5 мкр., д. 27",1067536043574,7536070764,753601001,магазин,г. Чита,г. Чита,"Черновский район, 5 мкр. д. 27, пом. 43",0553,,22-Aug-11,02-Sep-11,02-Sep-12,75МЕ,002502,,,,Прекращена,,,
о переоформлении,ООО,Байкал,"Читинская область, Нерчинско-Заводский район, с. Нерчинский завод, ул. Красноармейская, д. 60",,7514002954,751401001,отдел в магазине,Нерчинско-Заводский район,с. Нерчинский Завод,"ул. Зверева, 10",835,12-Feb-08,04-Sep-07,04-Sep-07,03-Sep-12,75МЕ,000962,ВВ,000027,,прекращена,,,
о переоформлении,ЗАО,ОРС Дарасунский,"Читинская область, Карымский район, п. Дарасун, ул. Вокзальная, д. 6",,7508003766,750801001,отдел в магазине,Карымский район,п. Дарасун,"ул. Калинина, д.8",837,19-Mar-08,05-Sep-07,05-Sep-07,04-Sep-12,75МЕ,000966,ВВ,000072,,Прекращена,,,
о выдаче,ООО,Ника,"Читинская область, Чернышевский район, с. Укурей, ул. Колхозная, д. 25",,7525005227,752501001,отдел в магазине,Чернышевский район,с. Укурей,"ул. Колхозная, д.25",836,,05-Sep-07,05-Sep-07,04-Sep-12,75МЕ,000965,В,001003,,Прекращена,,,
о выдаче,ООО,ТУЯ,"Забайкальский край, Агинский район, с Урда-Ага, ул. Строительная, 6",1068080021569,8001013085,800101001,магазин,Агинский район,с. Урдо-Ага,"ул. Строительная, 6",0571,,02-Sep-11,05-Sep-11,05-Sep-12,75МЕ,002533,,,,Прекращена,,,
о продлении,ООО,Жемчужина,"Забайкальский край, Борзинский район, г. Борзя-3, ДОС 17-3",1027501007566,7529000727,752901001,магазин,Борзинский район,г. Борзя-3,ДОС 17-1,0544,,16-Aug-11,06-Sep-11,06-Sep-12,75 ме,002491,,,,Прекращена,,8302232749,
о продлении,ООО,Дельта,"Забайкальский край, г. Чита, 1 мкр., 20",1067536044520,7536071422,753601001,павильон,г. Чита,г. Чита,"Ингодинский район, 1 мкр., 20",0578,,05-Sep-11,06-Sep-11,06-Sep-12,75МЕ,002530,,,,Прекращена,,,
о переоформлении,ООО,Волна,"Забайкальский край, г. Чита, Железнодорожный район, проспект Советов, 1",1067536044366,7536071285,753601001,"магазин ""Ассорти""",г. Чита,г. Чита,"Железнодорожный район, ул. Онискевича, д. 8, пом. 2",0584,18-Nov-11,06-Sep-11,07-Sep-11,07-Sep-12,75 ме,002743,,,,Прекращена,,89145175270,
о переоформлении,ООО,Панама - Мир Развлечений,"Забайкальский край, г. Чита, мкр. Северный, 64",1037550025281,7536051923,753601001,бар,г. Чита,г. Чита,"Центральный район, мкр. Северный, 64, корпус 9",0573,23-Dec-11,05-Sep-11,07-Sep-11,07-Sep-12,75МЕ,002789,,,,Прекращена,,"448833, 89145211557",
о продлении,ООО,Гермес,"Забайкальский край, г. Чита, проспект Фадеева, д. 16, пом. 1",1037550026260,7537011881,753701001,магазин,г. Чита,г. Чита,"Черновский район, проспект Фадеева, 16",0543,,16-Aug-11,07-Sep-11,07-Sep-12,75 ме,002490,,,,Прекращена,,251432,
о продлении,ООО,СТЕП,"Забайкальский край, Александрово-Заводский район, с. Александровский Завод, ул. Чернышевского, 10",1067505006381,7502002276,750201001,отдел в магазине,Александрово-Заводский район,с. Александровский Завод,"ул. Журавлева, 43",0583,,06-Sep-11,07-Sep-11,07-Sep-12,75МЕ,002535,,,,Прекращена,,,
о продлении,ООО,Велес,"Забайкальский край, г. Чита, ул. Звездная, д. 11",,7536070757,753601001,магазин,г. Чита,г. Чита,"ул. Звездная, д. 11",0450,,14-Jul-11,07-Sep-11,07-Sep-12,75МЕ,002393,ВВ,001262,,Прекращена,,,
о продлении,ООО,Багульник,"Забайкальский край, Шелопугинский район, с. Вершино-Шахтаминский, ул. Трактовая, 55",1067513008518,7526002959,752601001,"отдел в магазине ""Багульник""",Шелопугинский район,п. Вершино-Шахтаминский,"ул. Трактовая, 55",0582,,06-Sep-11,07-Sep-11,07-Sep-12,75МЕ,002534,,,,прекращена,,,
о продлении,ООО,Татьяна,"Забайкальский край, Читинский район, с. Жипковщина, ул. Школьная, 42-1",1067524006164,7524013296,752401001,магазин,Читинский район,с. Жипковщина,"ул. Широкая, 15",0569,,02-Sep-11,07-Sep-11,07-Sep-12,75МЕ,002521,,,,Прекращена,,,
о продлении,ООО,ЛАГ,"Забайкальский край, г. Чита, ул. Гагарина, 13",1067536040770,7536069543,753601001,магазин,г. Чита,г. Чита,"ул. Гагарина, 13",0575,,05-Sep-11,08-Sep-11,08-Sep-12,75МЕ,002527,,,,Прекращена,,,
о переоформлении,ООО,АнТа,"Читинская область, Сретенский район, г. Сретенск, ул. Луначарского, д. 4-а",,7519003824,751901001,отдел в магазине,Сретенский район,г. Сретенск,"ул. Кочеткова, д.4",838,18-Sep-08,10-Sep-07,10-Sep-07,09-Sep-12,75МЕ,000968,ВВ,000243,,Прекращена,,83024621519,Шайдурова Т.А.
о выдаче,ООО,Диана,"Читинская область, Карымский район, пгт. Карымское, ул. Нижняя",,7508005604,750801001,отдел в магазине,Карымский район,пгт. Карымское,"ул. Нижняя, д.8",839,,10-Sep-07,10-Sep-07,09-Sep-12,75МЕ,000969,В,001008,,Прекращена,,,
о переоформлении,ООО,ОНОН,"Читинская область, г. Чита, ул Нерчинская, 14",,7536078379,753601001,"магазин ""Читинка""",г. Чита,г. Чита,"ул. Нерчинская, д.14",840,24-Dec-09,13-Sep-07,13-Sep-07,12-Sep-12,,,,,,прекращена,,,
о выдаче,ООО,Марко,"Читинская область, г. Краснокаменск, 2-мкр., д. 251, магазин ""Авоська""",,7530011353,753001001,"отдел в магазине ""Авоська""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"2- мкр., д.251",843,,14-Sep-07,14-Sep-07,13-Sep-12,75МЕ,000973,В,001015,,Прекращена,,,
о продлении,ООО,Погребок,"Забайкальский край, г. Чита, ул. Анохина, д. 67",1067536036204,7536069208,753601001,бар,г. Чита,г. Чита,"ул. Амурская, 76, бар в ресторане ""Золотой Олимп""",0589,,12-Sep-11,13-Sep-11,13-Sep-12,75 ме,002541,,,,Прекращена,,,
о выдаче,ООО,ТАЙМС,"Забайкальский край, г. Чита, ул. Новобульварная, д. 36, офис 305",1117536005290,7536119547,753601001,кафе,г. Чита,г. Чита,"ул. Ленинградская, д. 76, пом. 9",0588,,13-Sep-11,13-Sep-11,13-Sep-12,75МЕ,002540,,,,Прекращена,,,
о выдаче,ООО,ОЛИМП_П,"Читинская область, Карымский район, с. Шара-Горохон, ул. Центральная, д.6",,7508005682,750801001,"отдел в магазине ""Феникс""",Карымский район,с. Шара-Горохон,"ул. Центральная, д.16А",842,,14-Sep-07,14-Sep-07,13-Sep-12,75МЕ,000994,В,001014,,Прекращена,,,
о выдаче,ООО,Сапсан,"Забайкальский край, пгт. Агинское, ул. Ленина, 112",1068080021162,8001012878,800101001,"ресторан ""Китайская кухня""",Агинский район,пгт. Агинское,"ул. Ленина, 112",0590,,13-Sep-11,14-Sep-11,14-Sep-12,75 ме,002542,,,,Прекращена,,,
о выдаче,ООО,КФХ Золотой Лотос,"Забайкальский край, Забайкальский район, пгт. Забайкальск, Оздоровительный комплекс",1067505006337,7505004673,750501001,бар в ресторане,Забайкальский район,пгт. Забайкальск,Оздоровительный комплекс,0598,,16-Sep-11,16-Sep-11,16-Sep-12,75 ме,002553,,,,Прекращена,,,
о выдаче,ООО,Корона,"Забайкальский край, Дульдургинский район, с. Дульдурга, ул. Кирова, д. 21-а",1068080021591,8002003146,800201001,"отдел в магазине ""Корона""",Дульдургинский район,с. Дульдурга,"ул. Кирова, д. 21-а",0595,,16-Sep-11,16-Sep-11,16-Sep-12,,,,,,Прекращена,,,
о переоформлении,ООО,Роса,"Читинская область, Могочинский район, п. Таптугары, ул. Лесная, д.12",,7512004843,751201001,отдел в магазине,Могочинский район,с. Таптугары,"ул. Лесная, 12-2",845,19-Aug-08,18-Sep-07,18-Sep-07,17-Sep-12,75МЕ,000976,ВВ,000206,,Прекращена,,,
о переоформлении,ООО,Ольга,"Читинская область, Александрово-Заводский район, с. Чиндагатай, ул. Лесная, 14",,7502002371,750201001,отдел в магазине,Александрово-Заводский район,с. Чиндагатай,"ул. Лесная, 14",846,23-Nov-07,18-Sep-07,18-Sep-07,17-Sep-12,75МЕ,000975,В,001055,,Прекращена,,,
о выдаче,ООО,Созвездие,"Читинская область, г. Чита, ул. Матвеева, 38",,7536080071,753601001,"организация общественного питания - бар в гостинице ""Унисон""",г. Чита,г. Чита,"Центральный район, ул. Матвеева, 38",844,,18-Sep-07,18-Sep-07,17-Sep-12,75МЕ,000974,В,001016,,прекращена,,,
о переоформлении,ООО,Ангара плюс,"Забайкальский край, Агинский район, п.г.т. Новоорловск, д. 25, кв. 4",1078080001515,8001014498,753601001,"магазин ""Сибирь""",Агинский район,п.г.т. Новоорловск,д. 21,156,19-Jan-11,20-Sep-07,20-Sep-07,19-Sep-12,,,,,,Прекращена,,823951190,Бурич А.А.
о продлении,ООО,Надежда,"Забайкальский край, Читинский район, пгт. Новокручининский, ул. Луговая, 34-б",1067524004448,7524013105,752401001,"отдел в магазине ""Надежда""",Читинский район,пгт. Новокручининский,"ул. Луговая, 34-б",0596,,16-Sep-11,19-Sep-11,19-Sep-12,75МЕ,2551,,,,Прекращена,,,
о продлении,ООО,Ингода,"Забайкальский край, Читинский район, п. Лесной городок, ул. Центральная, 28",1057524000115,7524011926,752401001,магазин,Читинский район,п. Лесной городок,"ул. Центральная, 28",0558,,29-Aug-11,19-Sep-11,19-Sep-12,75МЕ,002509,,,,Прекращена,,,
о выдаче,ООО,Восток,"Забайкальский край, Борзинский район, г. Борзя-3, Торговый центр ""Восток""",1067505006326,7529010556,752901001,отдел в ТЦ Восток,Борзинский район,г. Борзя-3,"Торговый центр ""Восток""",0611,,20-Sep-11,20-Sep-11,20-Sep-12,75МЕ,002568,,,,прекращена,,89145224262,
о выдаче,ООО,Восход,"Забайкальский край, Чернышевский район, п. Чернышевск, ул. Журавлева, д. 68",1067513008419,7525005033,752501001,"магазин ""Подснежник""",Чернышевский район,пгт. Чернышевск,"ул. Журавлева, д. 56-а",0605,,20-Sep-11,20-Sep-11,20-Sep-12,75МЕ,002562,,,,Прекращена,,,
о выдаче,ООО,Солнце,"Читинская область, Карымский район, пгт. Карымское, ул. Новая",,7508005315,750801001,"отдел в магазине ""Магнат""",Карымский район,пгт. Карымское,ул. Новая,847,,21-Sep-07,21-Sep-07,20-Sep-12,75МЕ,000978,В,001023,,Прекращена,,,
о продлении,ООО,Каренга,"Забайкальский край, Тунгокоченский район, с. Усть-Каренга, ул. Весенняя, 12-2",1067527000771,7521003405,752101001,отдел в магазине,Тунгокоченский район,с. Усть-Каренга,"ул. Центральная, 18",0606,,21-Sep-11,22-Sep-11,22-Sep-12,75МЕ,002563,,,,Прекращена,,89242711263,
о выдаче,ООО,Радуга,"Забайкальский край, Чернышевский район, пгт. Чернышевск, ул. Советская, 36",1117513000384,7525005971,752501001,отдел в магазине,Чернышевский район,пгт. Чернышевск,"ул. Советская, 36",0615,,22-Sep-11,22-Sep-11,22-Sep-12,75 ме,002572,,,,Прекращена,,"83026523844, 89144641521",
о выдаче,ООО,Развлекательный комплекс Эльдорадо,"Забайкальский край, г. Чита, ул. Амурская, 91",1117536000658,7536116218,753601001,ресторан,г. Чита,г. Чита,"ул. Амурская, 91, пом. 2 (цокольный этаж), пом. 3 (1 этаж)",0607,,22-Sep-11,22-Sep-11,22-Sep-12,75 ме,002574,,,,Прекращена,,"35-33-35, 89141223688",
о продлении,ООО,ГрадВин,"Забайкальский край, г. Чита, мкр. Северный, д. 58",1057536124580,7536065683,753601001,магазин,г. Чита,г. Чита,"мкр. Северный, д. 58, пом.1.",0597,,16-Sep-11,22-Sep-11,22-Sep-12,,,,,,Прекращена,,,
о выдаче,ООО,Арзу,"Забайкальский край, г. Чита, п. Песчанка, ул. Агинский тракт, д. 61 а",1057536131366,7536066334,753601001,павильон,г. Чита,г. Чита,"п. Песчанка, ул. Агинский тракт, д. 61 а",0609,,23-Sep-11,23-Sep-11,23-Sep-12,,,,,,Прекращена,,89243721977,
о выдаче,ООО,ХОТТЕЙ,"Забайкальский край, г. Чита, 1 мкр, д. 24",1067536041814,7536069670,753601001,павильон,г. Чита,г. Чита,"ул. Ватутина, 21 а",0612,,23-Sep-11,23-Sep-11,23-Sep-12,75МЕ,002569,,,,Прекращена,,89141269336,
о выдаче,ООО,Диана,"Забайкальский край, г. Чита, Ингодинский район, ул. Оздоровительная, 31-в",1057536122918,7536065500,753601001,магазин,г. Чита,г. Чита,"Ингодинский район, ул. Оздоровительная, 31-в",0610,,23-Sep-11,23-Sep-11,23-Sep-12,75МЕ,002567,,,,Прекращена,,329215,
о продлении,ООО,Ника,"Забайкальский край, Хилокский район, г. Хилок, ул. Трактовая, 1а",1067538004808,7538000755,753801001,"отдел в магазине ""Надежда""",Хилокский район,г. Хилок,"ул. Трактовая, 1а",0601,,19-Sep-11,27-Sep-11,27-Sep-12,75МЕ,002558,,,,Прекращена,,,
о выдаче,ООО,999,"Забайкальский край, г. Балей, ул. Советская, 30",1067527003862,7528004920,752801001,отдел в магазине,Балейский район,г. Балей,"ул. Советская, 30",0626,,28-Sep-11,29-Sep-11,29-Sep-12,75 ме,002582,,,,Прекращена,,823251771,Нестеров А.Г.
о продлении,ООО,Байкал,"Забайкальский край, Приаргунский район, п. Приаргунск, ул. Трактовая, 1-а",1067530007049,7518006300,751801001,"отдел в магазине ""Байкал""",Приаргунский район,пгт. Приаргунск,"ул. Трактовая, 1-а",0576,,05-Sep-11,30-Sep-11,30-Sep-12,75МЕ,002528,,,,Прекращена,,,
о продлении,ООО,Удача,"Забайкальский край, Тунгиро-Олекминский район, с. Тупик, ул. Нагорная, д. 30-а",1107527000052,7520001010,752001001,магазин,Тунгиро-Олекминский район,с. Тупик,"ул. Нагорная, д. 30-а",0632,,29-Sep-11,02-Oct-11,02-Oct-12,75 ме,002593,,,,Прекращена,,"89145037508, 83026331104",
о выдаче,ООО,"Производсвенно-торговая фирма ""ЮНАКО""","Читинская область, г. Чита, мкр. Северный, 44 а",,7534014891,753401001,"отдел в павильоне ""БиС""",г. Чита,г. Чита,"Центральный район, мкр. Северный, 44а",848,,03-Oct-07,03-Oct-07,02-Oct-12,75МЕ,000981,В,001028,,Прекращена,,,
о переоформлении,ООО,Фаворит,"Читинская область, г. Чита, ул. Бабушкина, 9",,7536057876,753601001,организация общественного питания,г. Чита,г. Чита,"Центральный район, ул. Ленина, 120",849,27-Apr-10,03-Oct-07,03-Oct-07,02-Oct-12,,,,,,Прекращена,,,
о переоформлении,ООО,Пикник,"Забайкальский край, Улетовский район, с. Улеты, ул. Мира, д. 3, кв. 1",,1057536131355 /7536066327,,отдел в магазине,Улетовский район,с. Улеты,"ул. Пионерская, 29 а",23,,09-Mar-10,08-Aug-07,07-Aug-12,,,,,,Прекращена 17.06.2011,,,
о выдаче,МУП,Тунгирпушнина,"Читинская область, Тунгиро-Олекминский район, с. Тупик, ул. Нагорная, 35",,7520000578/752001001,,магазин,Тунгиро-Олекминский район,с. Заречное,"ул. Молодежная, 11-1а",831,,31-Aug-07,31-Aug-07,30-Aug-12,75МЕ,000959,В,000994,,Прекращена 26.11.2008,,,
о переоформлении,ООО,Янлеал,"Читинская область, г.Чита, ул. Нагорная, 111",,7535000669,,отдел в магазине,Читинский район,с.Беклемишево,"ул.Бурлова, 64 (не осущ.деятельность, заявление от 25.05.2010)",812,,02-Aug-07,02-Aug-07,01-Aug-12,,,,,,Прекращена 27.01.2012 по заявлению лицензиата,,,
о переоформлении,ООО,Янлеал,"Читинская область, г.Чита, ул. Нагорная, 111",,7535000669/753501001,,отдел в магазине,Читинский район,с.Беклемишево,"ул.Советская, 50 (не осущ.деятельность, заявление от 25.05.2010)",812,,02-Aug-07,02-Aug-07,01-Aug-12,,,,,,Прекращена 27.01.2012 по заявлению лицензиата,,,
о переоформлении,ООО,Каро,"Читинская область, г. Чита, ул. Автозаводская, д. 1",1077536007933,7536082287,753601001,"магазин  ""Каприз""",г. Чита,г. Чита,"Черновский административный район, 4 мкр. д. 10",834,,03-Jun-10,04-Sep-07,03-Sep-12,,,,,,Прекращена по заявлению лицензиата 02.08.2012,,,
о выдаче,ПО,Верх-Читинское,"Читинская область, Читинский район, с. Верх-Чита, ул. Центральная, д.39",,7524009691,752401001,"бар в кафе ""Багульник""",Читинский район,с. Верх-Чита,"ул. Центральная, д.39",841,,14-Sep-07,14-Sep-07,13-Sep-12,75МЕ,000971,В,001012,,прекращена по заявлению лицензиата 09.04.2012,,,
о выдаче,ООО,Квартал,"Забайкальский край, г. Чита, ул. Анохина, 93, помещение 10",,7536079735,753601001,магазин,г. Чита,г. Чита,"ул. Анохина, 93",0469,,21-Jul-11,21-Jul-11,21-Jul-12,75МЕ,002412,ВВ,001281,,Прекращена по заявлению лицензиата 10.07.2012,,,
