,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,бланка,лицензии,,действия,с,по,,
,Е 002664,РА-1050/09," ООО ""ТС Аникс"" ОГРН 1082204003848",Действует,21.09.09,20.09.12,"Алтайский край, г.Бийск, ул.Социалистическая, 5/1",2204039458
,Е 004394,РА-1006/09," ООО ""Розница Н-1"" ОГРН 1055401112480",Действует,31.08.09,30.08.12,"г.Барнаул, ул.Мерзликина, 5",5401251699
,Е 004254,РА-0397/11," ООО ""Элемент-Трейд"" ОГРН 1036605217252",Действует,04.07.11,03.07.14,"г.Екатеринбург, ул.Щербакова, 4",6674121179
,Е 002367,РА-1371/09," ЗАО ""ГАЗПРОМНЕФТЬ - КУЗБАСС"" ОГРН 1024201752662",Действует,18.12.09,17.12.12,"г.Кемерово, ул.Мирная, 2",4217035133
,Е 001863,РА-441/09," ЗАО ""РЕГИОНМАРТ"" ОГРН 1074205012782",Действует,20.05.09,19.05.12,"г.Кемерово, ул.Тухачевского, 100",4205132478
,Е 003525,РА-0532м/10," ООО ""Парадигма Групп"" ОГРН 1077758601403",Действует,14.09.10,13.09.13,"г.Москва, 12-й проезд Марьиной рощи, д.8, стр.1",7722619160
,Е 003414,РА-0429м/10," ООО ""Метро Кэш энд Керри"" ОГРН 1027700272148",Действует,28.07.10,27.07.13,"г.Москва, Ленинградское шоссе, 71г",7704218694
,Е 004346,РА-0481/11," ООО ""Галерея-АЛЕКС"" ОГРН1047796357179",Действует,29.07.11,28.07.12,"г.Москва, ул.Арбат, 44, стр.1",7704520601
,Е 004347,РА-0482/11," ООО ""Мозель-М"" ОГРН 1027700508824",Действует,15.08.11,14.08.14,"г.Москва, ул.Вавилова, 48, квартира правления 102     novosib@mozel.ru",7736186117
,Е 003706,РА-0709м/10," ОАО ""Российские железные дороги"" ОГРН 1037739877295",Действует,05.12.10,04.12.13,"г.Москва, ул.Новая Басманная, 2.  Местонахождение Административно-хозяйственного центра Западно-Сибирской железной дороги (филиала ОАО ""РЖД""): г.Новосибирск, Вокзальная магистраль, 12",7708503727
,Е 004493,РА-0679м/10," ЗАО ""Гастон"" ОГРН 1095404018588",Действует,18.11.11,17.11.12,"г.Новосибирск,  пр.Димитрова, 4/1 офис 6 Аэп: peoples3@restorator.ru",5404398700
,Е 002979,РА-1348/09," ООО ""Лесовик"" ОГРН 1025401918376",Действует,26.12.09,25.12.12,"г.Новосибирск, 1-ый пер.Пархоменко, 16",5405244029
,Е 002045,РА-614/09," ООО ""Электрон-Бизнес"" ОГРН 1045403914764",Действует,30.06.09,29.06.12,"г.Новосибирск, 2-ой Краснодонский переулок, 3",5410155247
,Е 002906,РА-1279/09," ООО ""Фора"" ОГРН 1075404028127",Действует,29.11.09,28.11.12,"г.Новосибирск, 3-ий пер.Крашенинникова, 3",5404340509
,Е 003845,РА-0001/11," ООО ""Мария-плюс"" ОГРН 1025401504150",Действует,15.01.11,14.01.14,"г.Новосибирск, 5-ый Гэсстроевский переулок, 6",5404130501
,Е 001916,РА-492/09," ООО ""Транзит-М""",Действует,29.05.09,28.05.12,"г.Новосибирск, Бердское шоссе, 20",5409109670
,Е 001708,РА-296/09," ООО ""Маркет"" ОГРН 1095473001678",Действует,09.04.09,08.04.12,"г.Новосибирск, Бердское шоссе, 451",5408269504
,Е 003172,РА-0196/10," ООО ""Транс-ДОМ"" ОГРН 1065473079121",Действует,17.04.10,16.04.13,"г.Новосибирск, Бердское шоссе, 4а",5409228772
,Е 004272,РА-0415/11," ООО ""ЯСОН"" ОГРН 1025403871448",Действует,11.07.11,10.07.13,"г.Новосибирск, Бердское шоссе, 62а",5409114013
,Е 001962,РА-536/09," ООО ""ВЕЧНОСТЬ"" ОГРН 1065407018445",Действует,08.06.09,07.06.12,"г.Новосибирск, Владимировский спуск, 7",5407012834
,Е 003653,РА-0656м/10," ООО ""Первый этаж"" ОГРН 1075407017840",Действует,12.11.10,11.11.13,"г.Новосибирск, Вокзальная магистраль, 1",5407035084
,Е 003021,РА-0050/10," ООО ""Алтай-М"" ОГРН 1075407029345",Действует,27.01.10,26.01.12,"г.Новосибирск, Вокзальная магистраль, 1",5407041218
,Е 001314,РА-797/08," ООО ""Порцион"" ОГРН 1085407016090",Действует,23.12.08,22.12.11,"г.Новосибирск, Вокзальная магистраль, 1",5407055161
,Е 004247,РА-0391/11," ООО ""Отель-Фуд"" ОГРН 1035403197906",Действует,02.07.11,01.07.14,"г.Новосибирск, Вокзальная магистраль, 1",5407250892
,Е 004382,РА-0494/11," ООО ""Глянец"" ОГРН 1115476032726",Действует,21.09.11,20.09.12,"г.Новосибирск, Вокзальная магистраль, 1   Аэп: ltd.first@mail.ru",5407462946
,Е 001651,РА-244/09," ООО ТД ""Надежда-СТ"" ОГРН 1025403219170",Действует,01.04.09,31.03.12,"г.Новосибирск, Вокзальная магистраль, 11",5407189648
,Е 003439,РА-0453/10," ООО ""ШЕРА"" ОГРН 1065410039749",Действует,07.08.10,06.08.13,"г.Новосибирск, Вокзальная магистраль, 11/1, кв.83",5410007087
,Е 001793,РА-376/09," ООО ""Дюмус"" ОГРН 1025403204243",Действует,24.04.09,23.04.12,"г.Новосибирск, Вокзальная магистраль, 15",5407177184
,Е 004032,РА-0181/11," ООО ""Карусель"" ОГРН 1025403209028",Действует,13.04.11,12.04.12,"г.Новосибирск, Вокзальная магистраль, 15",5407195169
,Е 001681,РА-269/09," ООО ""Русская деревня"" ОГРН 1035403191174",Действует,06.04.09,05.04.12,"г.Новосибирск, Вокзальная магистраль, 15",5407241619
,Е 001844,РА-423/09," ООО ""КОВЧЕГ"" ОГРН 1065407000405",Действует,13.05.09,12.05.12,"г.Новосибирск, Вокзальная магистраль, 15, оф.332",5407011380
,Е 003297,РА-0316/10," ООО ""Арена-П"" ОГРН 1095402012529",Действует,10.06.10,09.06.13,"г.Новосибирск, Вокзальная магистраль, 16",5402518521
,Е 003005,РА-0030/10," ООО Бар ""Ангар"" ОГРН 1055407090562",Действует,04.02.10,03.02.12,"г.Новосибирск, Вокзальная магистраль, 16",5407006196
,Е 004118,РА-0263/11," ООО ""Дружба"" ОГРН 1035403220160",Действует,19.05.11,18.05.12,"г.Новосибирск, Вокзальная магистраль, 16",5407260107
,Е 003764,РА-0767м/10," ООО ""ТЕРРА-2"" ОГРН 1085407018102",Действует,24.12.10,23.12.11,"г.Новосибирск, Вокзальная магистраль, 16 kasftkin/a@terra-group.ru",5407056550
,Е 001521,РА-122/09," ООО МАГАЗИН ""КАСКАД"" ОГРН 1055407131141",Действует,01.03.09,29.02.12,"г.Новосибирск, Вокзальная магистраль, 2",5407009366
,Е 001624,РА-217/09," ООО ""Альфа"" ОГРН 1025403217652",Действует,28.03.09,27.03.12,"г.Новосибирск, Вокзальная магистраль, 2",5407247307
,Е 001620,РА-206/09," ООО Торговый Дом ""ХОРОШИЙ"" ОГРН 1025403194794",Действует,24.03.09,23.03.12,"г.Новосибирск, Вокзальная магистраль, 4/1, оф.75",5407208227
,Е 004022,РА-0171/11," ООО ""Теннисная академия"" ОГРН 1065407141271",Действует,09.04.11,08.04.12,"г.Новосибирск, Вокзальная магистраль, 8б",5407020514
,Е 002183,РА-741/09," ООО ""ЛЕМИХ"" ОГРН 1065405121088",Действует,30.06.09,29.06.12,"г.Новосибирск, Гусинобродский тракт, 21, к.33",5405319958
,Е 002249,РА-798/09," ООО ""Леонтьев"" ОГРН 1065405120813",Действует,30.06.09,29.06.12,"г.Новосибирск, Гусинобродский тракт, 25",5405319676
,Е 004192,РА-0336/11," ООО ""Лайн - Сервис"" ОГРН 1055401008849",Действует,15.06.11,14.06.12,"г.Новосибирск, Гусинобродское шоссе, 11/1",5401241933
,Е 004472,РА-0531/11," ООО СТД ""Новосибирск плюс"" ОГРН 1115476101465",Действует,11.11.11,10.11.12,"г.Новосибирск, Гусинобродское шоссе, 17/3   Аэп: andrenalin11@rambler.ru",5401350072
,Е 003327,РА-0344м/10," ООО ""ГК Лазурный"" ОГРН 1055401059559",Действует,25.06.10,24.06.13,"г.Новосибирск, Гусинобродское шоссе, 33-6",5401244349
,Е 002180,РА-738/09," ООО ""Ельцовка"" ОГРН 1065402054453",Действует,30.06.09,29.06.12,"г.Новосибирск, Дачное шоссе, 194а",5402465510
,Е 001473,РА-079/09," ООО ""Меркурий-В"" ОГРН 1055405186935",Действует,15.02.09,14.02.12,"г.Новосибирск, Ключ-Камышенское плато, 2а",5405301950
,Е 003780,РА-0783м/10," ООО ""СибНафта-Маркет"" ОГРН 1075407029312",Действует,24.12.10,23.12.11,"г.Новосибирск, Комсомольский проспект, 13/1",5407041240
,Е 004328,РА-0467/11," ООО ""Ассоль и К"" ОГРН 1065407000999",Действует,27.07.11,26.07.12,"г.Новосибирск, Комсомольский проспект, 24",5407011421
,Е 001440,РА-048/09," ООО ""Надежное Партнерство"" ОГРН 1085407000876",Действует,02.02.09,01.02.12,"г.Новосибирск, Красный проспект, 1",5407045974
,Е 003834,РА-0835м/10," ЗАО ""Лира"" ОГРН 1095402010956",Действует,31.12.10,30.12.11,"г.Новосибирск, Красный проспект, 101",5402516980
,Е 001994,РА-566/09," ООО ""Сибирь"" ОГРН 1065402051296",Действует,30.06.09,29.06.12,"г.Новосибирск, Красный проспект, 102/03",5402464097
,Е 001613,РА-208/09," ООО ""Иркин"" ОГРН 1025401013241",Действует,27.03.09,26.03.12,"г.Новосибирск, Красный проспект, 102/3",5402126612
,Е 004104,РА-0250/11," ООО ""ШАГ- 55"" ОГРН 1025402491201",Действует,12.05.11,11.05.12,"г.Новосибирск, Красный проспект, 11",5406147451
,Е 002904,РА-1277/09," ООО ""Клуб ФОЛК"" ОГРН 1025402494590",Действует,28.11.09,27.11.12,"г.Новосибирск, Красный проспект, 13",5406139517
,Е 004364,РА-475/08," ООО ""Окшин"" ОГРН 1025402454670",Действует,13.09.11,12.09.12,"г.Новосибирск, Красный проспект, 13    Аэп: okhin9@yandex.ru",5406208810
,Е 004425,РА-0618м/10," ООО ""Чайка-М"" ОГРН 1105476043496",Действует,27.10.11,26.10.12,"г.Новосибирск, Красный проспект, 14    Аэп: chaika-clab@yandex.ru",5406639661
,Е 004330,РА-0469/11," ООО ""Белая Лошадь-плюс"" ОГРН 1025401029411",Действует,02.08.11,01.08.14,"г.Новосибирск, Красный проспект, 157",5402135423
,Е 002092,РА-656/09," ООО ПТП ""Телец-1"" ОГРН 1025401023262",Действует,05.07.09,04.07.12,"г.Новосибирск, Красный проспект, 157",5402145051
,Е 001164,РА-657/08," ООО ""Снежинка"" ОГРН 1055402047766",Действует,21.12.08,20.12.11,"г.Новосибирск, Красный проспект, 165",5402456635
,Е 004388,РА-0497/11," МУП ДК ""Прогресс"" ОГРН 1035401022777",Действует,29.09.11,28.09.12,"г.Новосибирск, Красный проспект, 167   Аэп: dkprogress@ngs.ru",5402184572
,Е 003727,РА-0730м/10," ООО ""Таурт"" ОГРН 1065402054992",Действует,10.12.10,09.12.11,"г.Новосибирск, Красный проспект, 171",5402466104
,Е 003929,РА-0084/11," ООО ""Черемушка"" ОГРН 1025401006421",Действует,02.03.11,01.03.12,"г.Новосибирск, Красный проспект, 173",5402102509
,Е 004201,РА-0344/11," ГУП НСО ""Хозяйственное управление"" ОГРН 1075406012120",Действует,19.06.11,18.06.14,"г.Новосибирск, Красный проспект, 18",5406391386
,Е 004154,РА-0299/11," ООО ""Конквест Кантри"" ОГРН 1065402060437",Действует,01.06.11,31.05.12,"г.Новосибирск, Красный проспект, 184",5402468905
,Е 004358,РА-0485/11," ООО ""Новая тема"" ОГРН 1115476000386",Действует,02.09.11,01.09.12,"г.Новосибирск, Красный проспект, 184 Аэп: soos@ngs.ru",5402533640
,Е 002323,РА-863/09," ООО ""ВИКТОРИЯ"" ОГРН 1065404085295",Действует,17.07.09,16.07.12,"г.Новосибирск, Красный проспект, 218/2",5404276638
,Е 004428,РА-0513/11," ООО ""Фрэндз"" ОГРН 1115476045057",Действует,25.10.11,24.10.12,"г.Новосибирск, Красный проспект, 22    Аэп:musienko.vlad@gmail.com",5406666432
,Е 002600,РА-992/09," ОАО ""Комбинат питания - НЭВЗ"" ОГРН 1025401019324",Действует,26.08.09,25.08.12,"г.Новосибирск, Красный проспект, 220",5402102763
,Е 003025,РА-0054/10," ООО ""Кафе ""У медведя"" ОГРН 1065402060349",Действует,12.02.10,11.02.12,"г.Новосибирск, Красный проспект, 220, корп.10",5402468662
,Е 003320,РА-0338/10," ООО ""ПАРТИЯ"" ОГРН 1065407150698",Действует,22.06.10,21.06.12,"г.Новосибирск, Красный проспект, 220/5",5407025350
,004475,РА-0533/11," ООО ""Мега"" ОГРН 1075406017213",Действует,14.11.11,13.11.13,"г.Новосибирск, Красный проспект, 25 Аэп: kruma@rambler.ru",5406396627
,Е 004288,РА-0430/11," ООО ""Дельфин"" ОГРН 1105476030109",Действует,14.07.11,13.07.12,"г.Новосибирск, Красный проспект, 25/1",5406636364
,Е 003757,РА-0760м/10," ООО ""ШИША"" ОГРН 1105476083613",Действует,21.12.10,20.12.11,"г.Новосибирск, Красный проспект, 28",5406650217
,Е 001814,РА-395/09, Новосибирский областной союз потребительских обществ,Действует,04.05.09,03.05.12,"г.Новосибирск, Красный проспект, 29",5406018713
