№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Мираж""",6702002539,1066712004853,"216320, Смоленская область, Глинковский район, с. Глинка, ул. Ленина, д. 19-А","216320, Смоленская область, Глинковский район, с. Глинка, ул. Ленина, д. 19-А (магазин), без ограничений",№ 1967                  Б 005376,22  февраля 2011,до 22 февраля 2012,,,,,,,,,,,,,,,
,,,,,"216320,Смоленская область, Глинковский район, с. Глинка, ул. Ленина, д. 19-А (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
2,"ООО ""Виктория""",6702002666,1076712000309,"216310, Смоленская область, Глинковский район, дер. Добромино","216310, Смоленская область, Глинковский район, дер. Добромино (магазин), без ограничений",№ 1569                 Г 679582,11 октября 2007,по 11 октября 2012,,,,,,,,,,,,,,,
3,"ООО ""ДаДи""",6702002698,1076712000397,"216310, Смоленская область, Глинковский район, д. Добромино","216320, Смоленская область, с. Глинка, ул. 60 лет образования СССР, д. 48-а (магазин), без ограничений",№ 1547                 Г 679550,17 августа 2007,по 17 августа 2012,,,,,,,,,,,,,,,
,,,,,"216310, Смоленская область, Глинковский район, д. Добромино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
4,"КФХ ""Балтутино""",6702000771,1026700632034,"216341, Смоленская область, Глинковский район, д. Балтутино","216301, Смоленская область, Глинковский район, д. Розовка (магазин), без ограничений",№ 1468                   Г 679452,29 марта 2007,по 29 марта 2012,,,,,,,,,,,,,,,
,,,,,"216301, Смоленская область, Глинковский район, д. Балтутино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
5,"ООО ""МАРС""",6702002634,1076712000122,"216320, Смоленская область, с. Глинка, ул. Парижской Коммуны, 1-б","216320, Смоленская область, с. Глинка, ул. Парижской Коммуны, 1-б (магазин), без ограничений",№ 1449                   Г 679435,27 февраля 2007,по 27 февраля 2012,,,,,,,,,,,,,,,
6,"ООО ""Браво""",6702002592,1066712012795,"216320, Смоленская область, Глинковский район, с. Глинка, ул. Ленина, 25","216320, Смоленская область, Глинковский район, с. Глинка, ул. Ленина, 25 (магазин), без ограничений",№ 1390                 Г 679372                   (Г 301863),12 декабря 2006,по 12 декабря 2011,13 декабря 2013,,,,,,,,,,,,,,
7,"ООО ""Балтутино""",6702002779,1096712000307,"216301, Смоленская область, Глинковский район, д. Болтутино","216301,Смоленская область, Глинковский район,д. Болтутино (магазин), без ограничений",№ 1897                 Б 005198                      (Г 301959),19 января 2010,по 19 января 2012,до 20 января 2013,,,,,,,,,,,,,,
,,,,,"216301,Смоленская область, Глинковский район,д. Розовка (магазин), без ограничений",,,,,23 января 2012                  включение объевта,,,,,,,,,,,,,
