"Сводный реестр выданных, приостановленных и аннулированных лицензий на розничную торговлю алкогольной продукцией по состоянию на 28.09.2012",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Адрес места нахождения организации,Адрес электронной почты,Адрес осуществления вида деятельности ,КПП обособленного подразделения,Код субъекта РФ,Код субъекта по месту осуществления деятельности,Серия лицензии,Номер лицензии,Дата выдачи ,Дата окончания действия ,Дата приостановления действия ,Дата возобновления действия ,Дата прекращения действия ,Дата аннулирования,Статус лицензии,Дата изменения статуса,Руководитель организации,Телефон,Приказ Минэкономразвития,Срок окончания аренды
,"ОАО гостиница ""Авача""",4101007049,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.61",,"г. Петропавловск-Камчатский, ул. Ленинградская, д.61, барная стойка кафе гостиница ""Авача"", 2 этаж",,41,41,к 007800,209-К,10/18/2011,10/18/2016,,,,,действующая,,,,,
,"ОАО ""Столовая № 5""",4101117108,410101001,"г. Петропавловск-Камчатский, пл. Ленина, д.1,",,"г. Петропавловск-Камчатский, ул. Советская, д.34, буфет ФСБ",,41,41,к 007884,543-К,2/17/2012,8/17/2012,,,,,,,,,,
,"ОАО ""Столовая № 5""",4101117108,410101001,"г. Петропавловск-Камчатский, пл. Ленина, д.1,",,"г. Петропавловск-Камчатский, пл. Ленина, д.1, столовая № 5",,41,41,к 007993,304-К,8/17/2012,2/17/2013,,,,,действующая,,,,Приказ о выдаче от 15.08.2012 № 406,
,"ОАО ""Управление торговли Тихоокеанского флота"" (ОАО ""УТТФ"")",2537060054,,"г. Владивосток, ул. Сахалинская, д.38",,"г. Петропавловск-Камчатский, ул. Лизы Чайкиной, д.11, магазин № 40",,41,41,к 007543,169-К,5/24/2011,11/10/2014,,,,,действующая,,,,,
,"ОАО ""Управление торговли Тихоокеанского флота"" (ОАО ""УТТФ"")",2537060054,,"г. Владивосток, ул. Сахалинская, д.38",,"Усть-Камчатский р-н, п. Ключи, в/ч 71260 (57 кэч), магазин № 24",,41,41,к 007543,169-К,5/24/2011,11/10/2014,,,,,действующая,,,,,
15,"ООО ""6 КОНТИНЕНТ""",4105027180,410501001,"г. Елизово, ул. Рябикова, д.14, кв.36",,"г. Вилючинск, ул. Мира, д.15, кафе ""6 КОНТИНЕНТ""",,41,41,к 007183,725-Е ,10/19/2007,10/19/2012,,,,,действующая,,,,,
,"ООО ""6 КОНТИНЕНТ""",4105027180,410501001,"г. Елизово, ул. Рябикова, д.14, кв.36",,"г. Петропавловск-Камчатский, пр. Победы, д.67, кафе ""Баскин Роббинс""",,41,41,к 007183,725-Е ,10/19/2007,10/19/2012,,,,,действующая,,,,,
16,"ООО ""21""",4101124923,410101001,"г. Петропавловск-Камчатский, ул. Чубарова, д.4/1, кв.84",,"г. Петропавловск-Камчатский, ул. Академика Королева, д.21, магазин ""21""",,41,41,к 006959,80-К,4/29/2009,4/29/2014,,,,,действующая,,,8(4152)450740,,
,"ООО ""41 Регион""",4101105286,410101001,"г. Петропавловск-Камчатский, пр. Победы, д.22,",,"г. Петропавловск-Камчатский, пр. Победы, д.22, магазин ООО ""41 Регион""",,41,41,к 007525,5-К,5/12/2011,5/12/2016,,,,,действующая,,,,,
,"ООО ""41 регион""",4102008398,410201001,"г. Вилючинск, ул. Спортивная, д.8,",,"г. Вилючинск, ул. Спортивная, д.8, магазин ""Агротек""",,41,41,к 007583,18-В,7/1/2011,7/1/2016,,,,,действующая,,,,,
,"ООО ""41 регион""",4102008398,410201001,"г. Вилючинск, ул. Спортивная, д.8,",,"г. Вилючинск, ул. Кронштадтская, д.1, магазин ""Агротек""",,41,41,к 007583,18-В,7/1/2011,7/1/2016,,,,,действующая,,,,,
,"ООО ""41 регион""",4102008398,410201001,"г. Вилючинск, ул. Спортивная, д.8,",,"г. Вилючинск, ул. Владивостокская, д.1, магазин ""Сельдибург""",,41,41,к 007583,18-В,7/1/2011,7/1/2016,,,,,действующая,,,,,
,"ООО ""102""",4101106709,410101001,"г. Петропавловск-Камчатский, ул. Дальняя, д.24, кв.24",,"г. Петропавловск-Камчатский, ул. Тушканова, д.17, магазин № 102",,41,41,к 007600,292-К,6/28/2011,6/28/2016,,,,,действующая,,,,,
21,"ООО ""Абриколь""",4105032455,410501001,"г. Елизово, ул. Рябикова, д.52,",,"г. Елизово, ул. Рябикова, д.52, бар-бильярдная ""Абриколь""",,41,41, к 006872,4-Е,3/21/2008,3/21/2013,,,,,действующая,,,"8(4152)476409
",,
,"ООО ""Абсолют""",4101108992,410101001,"г. Петропавловск-Камчатский, Космический проезд, д.16,",,"г. Петропавловск-Камчатский, Космический проезд, д.16, павильон ""Абсолют""",,41,41,к 007454,309-К,6/30/2011,6/30/2014,,,,,действующая,,,,,
,,,,,,"г. Петропавловск-Камчатский, ул. Рябиковская, д.81/1, магазин ""Продукты""",,41,41,к 008020,309-К,9/6/2012,9/6/2015,,,,,действующая,,,,Приказ о выдаче от 04.09.2012 № 450,3/31/2014
26,"ООО ""Автосервис""",4102002460,410201001,"г. Вилючинск, ул. Спортивная, д.3, кв.12",,"г. Вилючинск, ул. Крашенинникова, д.43/1, бар бильярдной",,41,41,к 006977,9-В,11/23/2009,11/23/2014,,,,,действующая,,,(841535)34201    89622904048 бухг.89140283315,,
,"ООО ""Агротек Маркет""",4105028498,410501001,"г. Елизово, Елизовское ш, 19 км",,"г. Петропавловск-Камчатский, ул. Мишенная, д.120, магазин ""Агротек Маркет""",,41,41, к 007530,75-Е ,5/13/2011,4/7/2016,,,,,действующая,,,,,
,"ООО ""Агротек Маркет""",4105028498,410501001,"г. Елизово, Елизовское ш, 19 км",,"г. Петропавловск-Камчатский, пр. 50 лет Октября, д.1 а, магазин ""Мясная лавка""",,41,41, к 007530,75-Е ,5/13/2011,4/7/2016,,,,,действующая,,,,,
,"ООО ""Агротек Маркет""",4105028498,410501001,"г. Елизово, Елизовское ш, 19 км",,"г. Петропавловск-Камчатский, ул. Кирдищева, д.4 а, павильон ""Агротек Маркет""",,41,41, к 007530,75-Е ,5/13/2011,4/7/2016,,,,,действующая,,,,,
,"ООО ""Агротек Маркет""",4105028498,410501001,"г. Елизово, Елизовское ш, 19 км",,"г. Елизово, ул. Пограничная, д.27 а, магазин ""Камадор""",,41,41, к 007530,75-Е ,5/13/2011,4/7/2016,,,,,действующая,,,,,
28,"ООО ""Агротек Маркет - СВ""",4101127427,410101001,"г. Петропавловск-Камчатский, ул. Ларина, д.7/1,",,"г. Петропавловск-Камчатский, ул. Ларина, д.7/1, магазин ""Агротек Маркет - СВ""",,41,41, к 006934,66-К,1/27/2009,1/27/2014,,,,,действующая,,,8(4152)422070,,
,"ООО ""Ада""",4101108216,410101001,"г. Петропавловск-Камчатский, ул. Кирдищева, д.4, кв.8",,"г. Петропавловск-Камчатский, ул. Лукашевского, д.9, кафе ""Квартал""",,41,41,к 008003,299-К,8/9/2012,8/9/2013,,,,,действующая,,,44-33-99,Приказ о выдаче от 08.08.2012 № 391,7/31/2023
,"ООО ""Адмирал""",4101109114,410101001,"г. Петропавловск-Камчатский, ул. Петра Ильичева, д.8,",,"г. Петропавловск-Камчатский, ул. Петра Ильичева, д.8, в/в отдел в магазине ""Адмирал""",,41,41,к 007651,355-К,7/27/2011,7/27/2014,,,,,действующая,,,,,
31,"ООО ""Азбука вкуса""",4101133597,410101001,"г. Петропавловск-Камчатский, Космический проезд, д.3 А,",,"г. Петропавловск-Камчатский, Космический проезд, д.3А, ресторан ""GOOD FOOD""",,41,41,к 007413,127-К,7/23/2010,7/23/2013,,,,,действующая,,,"8(4152)222371, 8(914)7815638",,
32,"ООО ""Азиз""",4101133565,410101001,"г. Петропавловск-Камчатский, ул. Батарейная, 7",,"г. Петропавловск-Камчатский, ул. Батарейная, 7",,41,41,к 007957,282-К,6/27/2012,6/27/2013,,,,,действующая,,,46-66-64,Приказ о выдаче от 26.06.2012 № 283,
,"ООО ""Айсберг""",4101104998,410101001,"г. Петропавловск-Камчатский, пр. 50 лет Октября, д.15/6,",,"г. Петропавловск-Камчатский, пр. 50 лет Октября, д.15/6, магазин ""Айсберг""; до 15%",,41,41,к 007572,263-К,6/23/2011,6/23/2014,,,,,действующая,,,,,
34,"ООО ""Айсель""",4101133710,410101001,"г. Петропавловск-Камчатский, ул. Кирова, д.13,",,"г. Петропавловск-Камчатский, ул. Океанская, д.90/1, павильон ""Океан""",,41,41,к 007381,115-К,4/23/2010,4/23/2014,,,,,действующая,,,,,
,"ООО ""Александра""",4105029773,410501001,"г. Елизово, ул. Хуторная, д.2,",,"г. Елизово, ул. Механизации, д.1, павильон ""Продукты""",,41,41,к 007644,43-Е ,7/7/2011,7/7/2016,,,,,действующая,,,,,
,"ООО ""Александра""",4105029773,410501001,"г. Елизово, ул. Хуторная, д.2,",,"г. Елизово, ул. Нагорная, д.20 б, магазин ""Продукты""",,41,41,к 007644,43-Е ,7/7/2011,7/7/2016,,,,,действующая,,,,,
,"ООО ""Алекперов""",4101109516,410101001,"г. Петропавловск-Камчатский, ул. Автомобилистов, д.47, кв.54",,"г. Петропавловск-Камчатский, ул. Беринга, д.105, павильон № 481 ООО ""Алекперов""",,41,41,к 007599,291-К,6/28/2011,6/28/2014,,,,,действующая,,,,,
,,,,,,"г. Петропавловск-Камчатский, ул. Беринга, д.111, магазин ""Продукты""",,41,41,к 008029,316-К,9/24/2012,6/28/2014,,,,,действующая,,,,Приказ о переоформлении от 21.09.2012 № 496,
,,,,,,"г. Петропавловск-Камчатский, ул. Пржевальского, д. 28, магазин ООО ""Алекперов""",,41,41,,,,,,,,,,,,,,2/15/2015
,"ООО ""Алекс""",8202011031,410101001,"г. Петропавловск-Камчатский, ул. Кирдищева, д.21, кв.21",,"Тигильский р-н, с. Тигиль, ул. Строительная, д.30, м-н ""Дева""",,41,41,к 007886,16-Т,2/17/2012,2/17/2014,,,,,действующая,,,,Приказ о выдаче от 15.02.202 № 54,12/31/2022
44,"ООО ""Алена""",4107001741,410701001,"Соболевский р-н, п. Крутогоровский, ул. Сахалинская., д.36, кв.2",,"Соболевский р-н, п. Крутогоровский, ул. Сахалинская., д.36, магазин ""Алена""",,41,41, к 006877,1-С,5/8/2008,5/8/2013,,,,,действующая,,," 8(41536)33127
",,
,"ООО ""Алена""",4104002850,410401001,"Быстринский р-н, с. Эссо, ул. 50 лет Октября, д.6а, кв.2",,"Быстринский р-н, с. Эссо, ул. 50 лет Октября, д.4 А, магазин ""Алена""",,41,41,к 007835,7-Б,1/18/2012,11/17/2014,,,,,действующая,,,,Приказ о переоформлении от 17.01.2012 № 13,9/25/2014
,"ООО ""Алена""",4104002850,410401001,"Быстринский р-н, с. Эссо, ул. 50 лет Октября, д.6а, кв.2",,"Быстринский р-н, с. Эссо, ул. Набережная, д.12 а, магазин ""Алена""",,41,41,к 007835,7-Б,1/18/2012,11/17/2014,,,,,действующая,,,,,9/25/2014
,"ООО ""Алена""",4104002850,410401001,"Быстринский р-н, с. Эссо, ул. 50 лет Октября, д.6а, кв.2",,"Быстринский р-н, с. Анавгай, ул. Ленинская, д. 43 магазин ""Алена""",,41,41,к 007835,7-Б,1/18/2012,11/17/2014,,,,,действующая,,,,,9/25/2014
48,"ООО ""Алкомаркет""",4101139775,410101001,"г. Петропавловск-Камчатский, ул. Ак.Королева, д. 41",,"г. Петропавловск-Камчатский, ул. Академика Королева, алкомаркет ""Пробочка""",,41,41,к 007828,225-К,12/8/2011,12/8/2016,,,,,действующая,,,8(914)6235555,Приказ о выдаче от 08.12.2011 №  400,собственность
,"ООО ""Алкоторг""",4105039355,410501001,"г. Елизово, Почтовый переулок д.3,",,"г. Елизово, Почтовый переулок д.3, алкомаркет ""Пробочка""",,41,41,к 008001,118-Е,7/31/2012,7/20/2013,,,,,действующая,,,,Приказ о переоформлении от 30.07.2012 № 366,7/13/2019
,"ООО ""Алкоторг""",4105039355,410501001,"г. Елизово, Почтовый переулок д.3,",,"г. Елизово, ул. Ленина, 28, алкомаркет ""Пробочка""",,41,41,к 008001,118-Е,7/31/2012,7/20/2013,,,,,действующая,,,,,
,"ООО ""Альянс"" ",4109004628,410901001,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. 60 лет Октября, д.17, кв.22",,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. 60 лет Октября, д.7, корп.а, в/в отдел магазина ""Белочка""",,41,41, к 007529,6-УК,5/13/2011,3/28/2013,,,,,действующая,,,,,
,"ООО ""Альянс"" ",4109004628,410901001,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. 60 лет Октября, д.17, кв.22",,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. Ленина, д.76, в/в отдел магазина ""Гастроном Центральный""",,41,41, к 007529,6-УК,5/13/2011,3/28/2013,,,,,действующая,,,,,
52,"ООО ""Альянс""",4107001928,410701001,"Соболевский р-н, п. Крутогоровский, ул. Сахалинская., д.40,",,"Соболевский р-н, п. Крутогоровский, ул. Сахалинская., д.40, магазин ""Альянс""",,41,41,к 007247,2-С ,6/6/2008,6/6/2013,,,,,действующая,,,,,
,,,,,,"г. Петропавловск-Камчатский, пр-т 50 лет Октября, д.15/1, магазин ""Изабель""",,41,41,Приложение № 1,,,,,,,,,,,,,
,,,,,,"г. Петропавловск-Камчатский, ул. Радиосвязи, вино-вод.отд. в п-не ""Настя""",,41,41,,,,,,,,,,,,,,
,,,,,,"г. Петропавловск-Камчатский, ул. Радиосвязи, а/о ""Доф"" вино-водочный отдел ""Настя""",,41,41, к 007442,172-К ,6/2/2011,6/16/2013,,,,,действующая,,,,приказ о продлении от 16.06.11 № 91,
56,"ООО ""Амто-Пенжино""",8204007295,820401001,"Пенжинский р-н, с. Каменское, ул. Энтузиастов, д. 6, кв. 1",02311@kamselhoz.ru,"Пенжинский р-н, с. Каменское, ул. Чубарова, д. 18",,41,41,А 073306,4,3/31/2008,3/31/2013,,,,,действующая,,Локотина Александра Михайловна,89146284344,выдана Администрацией Пенжинского муниципального района,
57,"ООО ""Анар""",4101129583,410101001,"г. Петропавловск-Камчатский, ул. Сибирцева, д.18,",,"г. Петропавловск-Камчатский, ул. Сибирцева, д.18, м-н ""Юлия""",,41,41,к 006983,92-К,9/11/2009,9/11/2014,,,,,действующая,,,,,
59,"ООО ""Анастасия""",4103000810,410301001,"Алеутский р-н, с. Никольское, ул. Гагарина, д.11, кв.7",,"Алеутский р-н, с. Никольское, ул. Юбилейная, д.7, магазин ООО ""Анастасия""",,41,41,к 006954,2-А,4/22/2009,4/22/2014,,,,,действующая,,,,,
,"ООО ""АНАСТАСИЯ""",4101108417,410101001,"г. Петропавловск-Камчатский, ул. Гастелло, д.5, 683032",,"г. Петропавловск-Камчатский, ул. Солнечная, д.1/4, магазин ""Продукты""",,41,41,к 007896,283-К,6/29/2012,6/29/2013,,,,,действующая,,,,приказ о выдаче лицензии от  от26.06.20121 № 284,12/31/2015
,"ООО ""Ангелина""",4101117059,410101001,"г. Петропавловск-Камчатский, ул. Кутузова, д.12Б, кв.27",,"г. Петропавловск-Камчатский, пр. Победы, д.64, магазин "" У Ангелины""",,41,41,к 007350,122-К,5/28/2010,10/5/2012,,,,,действующая,,,,,
,"ООО ""Ангелина""",4101117059,410101001,"г. Петропавловск-Камчатский, ул. Кутузова, д.12Б, кв.27",,"г. Петропавловск-Камчатский, ул. Кутузова, д.18а, ""Гастроном""",,41,41,к 007350,122-К,5/28/2010,10/5/2012,,,,,действующая,,,,,
,"ООО ""Аневи""",4101110399,410101001,"г. Петропавловск-Камчатский, ул. Академика Курчатова, д.23, кв.51",,"г. Петропавловск-Камчатский, ул. К.Беляева, д.1, магазин ""Сириус""",,41,41,к 007865,241-К,12/28/2011,12/28/2012,,,,,действующая,,,8(4152)440955,Приказ о выдаче от 28.12.2011 № 437,
,"ООО ""Анжи""",4105030176,410501001,"Елизовский р-н, п. Светлый, ул. Ручейная, д.3,",,"г. Петропавловск-Камчатский, ул. Абеля, д.17, павильон ""Авангард""",,41,41,к 007581,314-К,6/30/2011,6/30/2016,,,,,действующая,,,,,
,"ООО ""Анжи""",4105030176,410501001,"Елизовский р-н, п. Светлый, ул. Ручейная, д.3,",,"Елизовский р-н, п. Светлый, ул. Ручейная, павильон ""Анжи""",,41,41,к 007581,314-К,6/30/2011,6/30/2016,,,,,действующая,,,,,
,"ООО ""Анжи""",4105030176,410501001,"Елизовский р-н, п. Светлый, ул. Ручейная, д.3,",,"Елизовский р-н, п. Светлый, ул. Луговая, (ост. Госпромхоз), павильон ""Анжи-2""",,41,41,к 007581,314-К,6/30/2011,6/30/2016,,,,,действующая,,,,,
65,"ООО ""Антариус""",4100022333,410501001,"Елизовский р-н, с. Паратунка, ул. Молчанова, д.22,",,"Елизовский р-н, с. Паратунка, ул. Молчанова, д.22, кафе, бар гостевого дома ООО",,41,41,к 007313,42-Е,7/24/2009,7/24/2014,,,,,действующая,,,(841531)33535,,
,"ООО ""Антариус""",4100022333,410501001,"Елизовский р-н, с. Паратунка, ул. Молчанова, д.22,",,"Елизовский р-н, с. Паратунка, ул. Молчанова, д.22, кафе гостевого дома",,41,41,к 007313,42-Е,7/24/2009,7/24/2014,,,,,действующая,,,,,
,"ООО ""Анюта  и К""",4101012970,410101001," г. Петропавловск-Камчатский, ул. Тушканова, д.7",,"г. Петропавловск-Камчатский, ул. Тушканова, д.7, кафе ""Мельница""",,41,41,к 007825,221-К ,12/2/2011,12/2/2014,,,,,действующая,,,,,
67,"ООО ""АОЛА"" ",4101107580,410101001,"г. Петропавловск-Камчатский, ул. Бохняка, д.10/2, кв.3",,"Карагинский р-н, с. Ивашка, ул. Левченко, д.17, магазин",,41,41, к 006895,1-КР ,7/25/2008,7/25/2013,,,,,действующая,,,"8(961)9614414
",,
,,,,,,"г. Петропавловск-Камчатский, ул. Пограничная, д.13, супермаркет ""Вега""",,41,41,к 008028,317-К,9/28/2012,7/25/2016,,,,,действующая,,,,Приказ о переоформлении от 26.09.2012 № 500,12/1/2015
,,,,,,"г. Петропавловск-Камчатский, ул. Пограничная, д.13, кафе ""Апельсин""",,41,41,,,,,,,,,,,,,,12/1/2015
,"ООО ""Араз""",4101106314,410101001,"г. Петропавловск-Камчатский, ул. Крупской, д.26,",,"г. Петропавловск-Камчатский, ул. Академика Королева, д.21, павильон ""Соната""",,41,41,к 007666,357-К,7/27/2011,7/27/2016,,,,,действующая,,,,,
,"ООО ""Араз""",4101106314,410101001,"г. Петропавловск-Камчатский, ул. Крупской, д.26,",,"г. Петропавловск-Камчатский, ул. Ключевская, д.9, павильон ""Араз"", до 15%",,41,41,"Приложение № 1 к лицензии к 007666, 357-К",357-К,7/27/2011,7/27/2016,,,,,действующая,,,,,
,"ООО ""Арина""",4105030105,410501001,"г. Елизово, ул. Ленина, д.37, кв.54",,"г. Елизово, ул. Красноярская, д.28 км, магазин ""Маргарита""",,41,41, к 007580,641-Е ,6/30/2011,6/30/2014,,,,,действующая,,,,,
72,"ООО ""Армения""",4101108978,410101001,"г. Петропавловск-Камчатский, ул. Вольского, д.6/3, кв.53",,"Елизовский р-н, п. Красный, ул. Восточная, д.14а, бар кафе шашлычной ""Армения""",,41,41,   к 006896,54-К,12/5/2008,12/5/2013,,,,,действующая,,,,,
,"ООО ""Асском""",4106005687,410601001,"Мильковский р-н, с. Мильково, Спортивный переулок д.3, кв.2",,"Мильковский р-н, с. Мильково, ул. Победы, д.7, магазин ""Шик""",,41,41, к 007504,80-М ,5/26/2011,7/6/2016,,,,,действующая,,,,,
,"ООО ""Асском""",4106005687,410601001,"Мильковский р-н, с. Мильково, Спортивный переулок д.3, кв.2",,"Мильковский р-н, с. Мильково, ул. Томская, д.12, магазин ""Рассвет""",,41,41, к 007504,80-М ,5/26/2011,7/6/2016,,,,,действующая,,,,,
,"ООО ""Асском""",4106005687,410601001,"Мильковский р-н, с. Мильково, Спортивный переулок д.3, кв.2",,"Мильковский р-н, с. Мильково, ул. Советская, д.56, магазин № 42",,41,41, к 007504,80-М ,5/26/2011,7/6/2016,,,,,действующая,,,,,
,"ООО ""Астассвет""",4106005648,410601001,"Мильковский р-н, с. Мильково, ул. Томская, д.14,",,"Мильковский р-н, с. Мильково, ул. Томская, д.14, магазин № 8",,41,41,к 007719,82-М ,7/24/2011,7/24/2014,,,,,действующая,,,,,
,"ООО ""Астассвет""",4106005648,410601001,"Мильковский р-н, с. Мильково, ул. Томская, д.14,",,"Мильковский р-н, с. Мильково, ул. Победы, д.7а, магазин №2",,41,41,к 007719,82-М ,7/24/2011,7/24/2014,,,,,действующая,,,,,
,"ООО ""Астассвет""",4106005648,410601001,"Мильковский р-н, с. Мильково, ул. Томская, д.14,",,"Мильковский р-н, с. Мильково, ул. Советская, д.35а, в/водочный отдел м-на ""Придорожный""",,41,41,к 007719,82-М ,7/24/2011,7/24/2014,,,,,действующая,,,,,
,"ООО ""Атлант""",4101109925,410101001,"г. Петропавловск-Камчатский, ул. Бохняка, д.20, кв.31",,"г. Петропавловск-Камчатский, ул. Тушканова, д.2, магазин ""Крымские вина""",,41,41,к 007648,335-К,7/11/2011,7/11/2013,,,,,действующая,,,,,
,"ООО ""Ахмедова и Компаньоны""",4101105293,410101001,"г. Петропавловск-Камчатский, ул. Автомобилистов, д.31, кв.37",,"г. Петропавловск-Камчатский, ул. Атласова, д.23, павильон № 561 ""Для Вас""",,41,41,к 007637,55-К,7/7/2011,7/7/2016,,,,,действующая,,,,,
