,,    ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по городу Иркутск",,,,,,,,,
,по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,№,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка, Серия, номер, дата выдачи, срок действия лицензии","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии 
,1,2,3,4,5,6,7,8,9,10
,17,"фирма СТЕРЛИНГ, ООО, 3812040193","г.Иркутск, ул. Улан-Баторская, д. 1а","38ме №003479, лиц.№АН00574 от 18.12.2008, действ.до 26.12.2013","кафе г.Иркутск, ул. Улан-Баторская, д. 1 А",,,,,
,18,"Российские железные дороги, ОАО, 7708503727","г.Москва, ул. Новая Басманная, д. 2","38ме №004717, лиц.№АН00491 от 01.07.2008, действ.до 01.07.2013","столовая г.Иркутск, ул. Карла Маркса, д. 7; столовая г.Иркутск, ул. Карла Маркса, д. 59",,,,,
,19,"Байкал Бизнес Центр, ЗАО, 3827014799","г.Иркутск, ул. Байкальская, д. 279","38ме №004806, лиц.№АН00525 от 15.10.2008, действ.до 15.10.2013","ресторан г.Иркутск, ул. Байкальская, д. 279; бар г.Иркутск, ул. Байкальская, д. 279; бар г.Иркутск, ул. Байкальская, д. 279; бар г.Иркутск, ул. Байкальская, д. 279",,,,,
,20,"ЭРКОЛ, ООО, 3808066262","г.Иркутск, ул. Сухэ-Батора, д. 13 А","38ме №005030, лиц.№АН00505Пр от 14.05.2009, действ.до 17.08.2013","ресторан г.Иркутск, ул. Сухэ-Батора, д. 13а; ресторан г.Иркутск, ул. Ленина, д. 36; кафе г.Иркутск, ул. Сухэ-Батора, д. 18; кафе г.Иркутск, ул. Ленина, д. 17",,,,,
,21,"СПУТНИК-МПТФ, ООО, 3812015101","г.Иркутск, ул. Терешковой, д. 3","38ме №003904, лиц.№А073 от 27.01.2012, действ.до 27.01.2015","магазин г.Иркутск, ул. Терешковой, 3",,,,,
,22,"Самсон-Байкал, ООО, 3810005972","г.Иркутск, пер. 5-й Советский, д. 1","38ме №004900, лиц.№АН00578 от 19.12.2008, действ.до 25.12.2013","магазин г.Иркутск, ул. Рабочего штаба, д. 62; кафе г.Иркутск, ул. Петрова, д. 64",,,,,
,23,"Спорт-Лэнд, ООО, 3811068044","г.Иркутск, ул. Байкальская, д. 108","38ме №004540, лиц.№АН00406 от 27.11.2007, действ.до 27.11.2012","кафе г.Иркутск, ул. Байкальская, д. 108",,,,,
,24,"Торговый Дом-Торгашин, ООО, 3812065871","г.Иркутск, ул. Старо-Кузьмихинская, д. 81","38ме №004511, лиц.№АН00395 от 30.10.2007, действ.до 31.10.2012","бар г.Иркутск, ул. Старо-Кузьмихинская, д. 81 а",,,,,
,25,"Сибирская компания молочных продуктов, ООО, 3812042320","г.Иркутск, ул. Улан-Баторская, д. 4","38ме №004727, лиц.№АН00495 от 09.07.2008, действ.до 15.07.2013","бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4; бар г.Иркутск, ул. Улан-Баторская, д. 4",,,,,
,26,"САЙСАН, ООО, 3812069516","г.Иркутск, ул. Академическая, д. 3","38ме №004615, лиц.№АН00444 от 11.02.2008, действ.до 11.02.2013","кафе г.Иркутск, ул. Карла Маркса, д. 13а",,,,,
,27,"Примавера, ООО, 3811057652","г.Иркутск, ул. Чехова, д. 20","38ме №004650, лиц.№АН00463 от 14.04.2008, действ.до 14.04.2013","кафе г.Иркутск, ул. Чехова, д. 20; бар г.Иркутск, ул. Чехова, д. 20",,,,,
,28,"СОФИЯ, ООО, 3811000688","г.Иркутск, ул. Набережная Каи, д. 1","38ме №004636, лиц.№АН00453 от 25.03.2008, действ.до 25.03.2013","магазин г.Иркутск, ул. Набережная Каи, д. 1",,,,,
,29,"Гостиница Академическая -учреждение ИНЦ СО РАН, 3812011019","г.Иркутск, ул. Лермонтова, д. 271а","38ме №004739, лиц.№АН00500 от 24.07.2008, действ.до 24.07.2013","кафе г.Иркутск, ул. Лермонтова, д. 271а",,,12.04.2012 Решение №504-02-1481/12 от 12.04.2012;,,
,30,"Спорт-Лайф, ООО, 3808075764","г.Иркутск, ул. Киевская, д. 1","38ме №004956, лиц.№АН00606 от 04.02.2009, действ.до 04.02.2014","кафе г.Иркутск, ул. Киевская, д. 1",,,,,
,31,"Фудлэнд, ЗАО, 3808081221","г.Иркутск, бул. Гагарина б/р, д. 44","38ме №003441, лиц.№АН00763Пр от 08.12.2010, действ.до 08.10.2012","бар г.Иркутск, бул. Гагарина б/р, д. 44; ресторан г.Иркутск, бул. Гагарина б/р, д. 44; ресторан г.Иркутск, м/р-н Солнечный (пристань ""Ракета""); ресторан п.Листвянка, ул. Академическая, д. 13; бар г.Иркутск, бул. Гагарина б/р, д. 44",,,,,
,32,"Колибри, ООО, 3808056338","г.Иркутск, ул. Советская, д. 139","38ме №003513, лиц.№АН00555 от 09.12.2008, действ.до 09.12.2013","кафе г.Иркутск, ул. Карла Маркса, д. 12",,,,,
,33,"МАГАЗИН № 15 ГАСТРОНОМ, ООО, 3807000332","г.Иркутск, ул. Российская, д. 18","38ме №004911, лиц.№АН00585 от 23.12.2008, действ.до 29.12.2013","магазин г.Иркутск, ул. Российская, д. 18",,,,,
,34,"ЖУК, ООО, 3811072308","г.Иркутск, ул. Лермонтова, д. 63","38ме №003574, лиц.№АН00556Пр от 28.12.2010, действ.до 11.12.2013","магазин г.Иркутск, ул. Лермонтова, д. 63; магазин г.Иркутск, ул. Ядринцева, д. 86/3",,,,,
,35,"Спорт-Лайф инвест, ООО, 3811074062","г.Иркутск, ул. Байкальская, д. 5","38ме №004644, лиц.№АН00460 от 04.04.2008, действ.до 15.04.2013","кафе г.Иркутск, ул. Байкальская, д. 165б",,,,,
,36,"НАСИ, ООО, 3811066858","г.Иркутск, ул. Красноярская, д. 70, оф. 8","38ме №003580, лиц.№АН00801 от 30.12.2010, действ.до 30.12.2012","магазин г.Иркутск, ул. 2-я Ключевая, д. 51; магазин г.Иркутск, ул. Баррикад, д. 54в",,,,,
,37,"Пивной ресторан Бирхауз, ООО, 3812074594","г.Иркутск, м/р-н Университетский м/р, д. 22, оф. 14","38ме №004691, лиц.№АН00478 от 27.05.2008, действ.до 09.06.2013","ресторан г.Иркутск, ул. Грязнова, д. 1",,,,,
,38,"Авана-Плюс, ООО, 3810027260","г.Иркутск, ул. Муравьева, д. 13, оф. 103","38ме №004710, лиц.№АН00487 от 23.06.2008, действ.до 23.06.2013","кафе г.Иркутск, ул. Киевская, д. 2",,,,,
,39,"Розничные технологии, ООО, 3812070230","г.Иркутск, ул. Лермонтова, д. 307","38ме №003398, лиц.№АП03330Пр3 от 16.08.2010, действ.до 16.08.2012","магазин г.Иркутск, ул. Лермонтова, д. 307",,,13.07.2012 Решение №504-02-2955/12 от 13.07.2012;,,
,40,"ГОУ ВПО ИрГТУ, 3812014066","г.Иркутск, ул. Лермонтова, д. 83","38ме №004797, лиц.№АН00522 от 01.10.2008, действ.до 01.10.2013","магазин г.Иркутск, ул. Игошина, д. 8а",,,,,
,41,"Шанс, ООО, 3808094823","г.Иркутск, ул. Карла Маркса, д. 38","38ме №004312, лиц.№АН00316 от 19.03.2007, действ.до 19.03.2012","кафе г.Иркутск, ул. Карла Маркса, д. 38",,,20.03.2012 по истечению срока действия;,,
,42,"Виста, ООО, 3808089252","г.Иркутск, ул. Ленина, д. 18","38ме №004361, лиц.№АН00324Пр от 16.05.2007, действ.до 01.04.2012","бар г.Иркутск, ул. Новаторов, д. 1; бар г.Иркутск, ул. Коммунистическая, д. 65",,,02.04.2012 по истечению срока действия;,,
,43,"Ручей плюс, ООО, 3808089598","г.Иркутск, ул. Ленина, д. 18","38ме №005032, лиц.№АН00640 от 15.05.2009, действ.до 17.05.2014","ресторан г.Иркутск, бул. Рябикова, д. 32г; бар г.Иркутск, бул. Рябикова, д. 32г",,,,,
,44,"Стелла Марина, ООО, 3808102320","г.Иркутск, ул. Ленина, д. 15","38ме №004993, лиц.№АН00624 от 30.03.2009, действ.до 30.03.2014","кафе г.Иркутск, ул. Ленина, д. 15",,,,,
,45,"ДАР, ООО, 3808085000","г.Иркутск, ул. Дзержинского, д. 27А","38ме №004390, лиц.№АН00346 от 18.06.2007, действ.до 18.06.2012","отдел г.Иркутск, ул. Дзержинского, д. 27е",,,19.06.2012 по истечению срока действия;,,
,46,"Зеленый дождь, ООО, 3811077850","г.Иркутск, ул. Карла Маркса, д. 5","38ме №005203, лиц.№АН00339Пр от 04.12.2009, действ.до 31.05.2012","магазин г.Иркутск, ул. Карла Маркса, д. 5",,,01.06.2012 по истечению срока действия;,,
,47,"Ист Вэй, ООО, 3808070340","г.Иркутск, ул. Ленина, д. 18, оф. 106","38ме №004614, лиц.№АН00443 от 08.02.2008, действ.до 10.02.2013","закусочная г.Иркутск, ул. Трудовая, д. 108б",,,,,
,48,"Чешская пивоварня, ООО, 3808105835","г.Иркутск, ул. Красногвардейская, д. 29","38ме №004411, лиц.№АН00357 от 10.07.2007, действ.до 11.07.2012","бар г.Иркутск, ул. Красногвардейская, д. 29",,,12.07.2012 по истечению срока действия;,,
,49,"ОМНИ-СЕРВИС, ООО, 3801069916",г.Ангарск промзона АЭХК,"38ме №003428, лиц.№АП02950Пр8 от 21.09.2010, действ.до 30.06.2014","магазин г.Иркутск, ул. Братская, д. 7а; магазин г.Иркутск, ул. Лермонтова, д. 255; магазин г.Иркутск, ул. Марии Цукановой, д. 57; магазин г.Иркутск, пер. Фучика, д. 1; магазин г.Иркутск, ул. Байкальская, д. 239а; магазин г.Иркутск, ул. Старо-Кузьмихинская, д. 84; магазин г.Иркутск, ул. Березовая Роща, д. 3в; магазин г.Иркутск, ул. Трактовая, д. 1а; магазин г.Иркутск, ул. Рабочего штаба, д. 29; магазин г.Иркутск объездная дорога (при выезде в г. Ангарск);",,,,,
,0,,,,"магазин г.Иркутск, ул. Ярославского, д. 238а; магазин р.п. Маркова, ул. Пригородная, д. 1; магазин г.Иркутск, ул. Трактовая, д. 24; магазин г.Иркутск, ул. Мира, д. 2б; магазин г.Иркутск, ул. Баррикад, д. 98; магазин г.Иркутск, ул. Воронежская, д. 2; магазин г.Ангарск 30 м северо-восточнее пересечения ул. Иркутской и автодороги Новосибирск-Иркутск, строение 1; магазин Ангарский район 1860 км автодороги Новосибирск-Иркутск, стр.1; магазин г.Ангарск, ул. Чайковского, д. 1Б; магазин г.Ангарск 272-й кв-л, 27;",,,,,
,50,"Кафе Иркут, ООО, 3810035470","г.Иркутск, ул. Новаторов, д. 3","38МЕ №004416, лиц.№АН00358 от 13.07.2007, действ.до 15.07.2012","кафе г.Иркутск, ул. Новаторов, д. 3",,,16.07.2012 по истечению срока действия;,,
,51,"Энергия-Д, ООО, 3810019750","г.Иркутск, ул. Сибирских Партизан, д. 3а, оф. 28","38ме №004494, лиц.№АН00378Пр от 18.10.2007, действ.до 20.09.2012","магазин г.Иркутск м/р-н ""Лесной"", остановка ""Лесная""",,,,,
,52,"Торговый дом ЮХТА, ООО, 3810034290","г.Иркутск, ул. Дзержинского, д. 43в","38ме №005147, лиц.№АН00439Пр от 15.10.2009, действ.до 09.02.2013","магазин г.Иркутск, ул. Академическая, д. 14; магазин г.Иркутск, ул. Жигулевская, д. 2а; магазин г.Иркутск, м/р-н Университетский м/р, д. 41; магазин г.Иркутск, ул. Дзержинского, д. 43в",,,,,
,53,"Янтарная лоза, ООО, 3812078790","г.Иркутск, м/р-н Университетский м/р, д. 1а, оф. 6","38ме №004985, лиц.№АН00350Пр6 от 17.03.2009, действ.до 06.07.2012","магазин г.Иркутск, ул. Иркутской 30-й дивизии в р-не ДК ""Октябрьский""; отдел г.Иркутск, м/р-н Университетский м/р, д. 43; магазин г.Иркутск, ул. Лермонтова, д. 136; отдел г.Иркутск, ул. Лермонтова, д. 307; отдел г.Иркутск, м/р-н Первомайский, д. 2/4 (ул. Вампилова); отдел г.Иркутск, ул. Лермонтова, д. 65; отдел г.Иркутск, ул. 2-я Железнодорожная, д. 9; отдел г.Иркутск, ул. Ивана Франко, д. 2; отдел г.Иркутск, ул. Свердлова, д. 36; отдел г.Иркутск, ул. Новаторов, д. 3б; отдел г.Иркутск, м/р-н Университетский м/р, д. 43;",,,07.07.2012 по истечению срока действия;,,
,54,"СТЭМ-Фуд, ООО, 3808103958","г.Иркутск, ул. Литвинова, д. 17","38ме №004478, лиц.№АН00382 от 26.09.2007, действ.до 26.09.2012","бар г.Иркутск, ул. Литвинова, д. 17",,,,,
,55,"Авиаль, ООО, 3808097775","г.Иркутск, ул. Ленина, д. 6 офис. 301","38ме №005104, лиц.№АП03006Пр2 от 12.08.2009, действ.до 30.08.2014","бар г.Иркутск, ул. Ширямова, д. 13 зал вылета Б здания Международного аэровокзала; ресторан г.Иркутск, ул. Ширямова, д. 6",,,,,
,56,"Квартет, ООО, 3810036480","г.Иркутск, ул. Мира, д. 2а","38ме №003280, лиц.№АП03130Пр4 от 11.03.2010, действ.до 14.01.2015","магазин г.Иркутск, ул. Мира, д. 2а; отдел г.Иркутск, ул. Розы Люксембург, д. 293а; отдел г.Иркутск, ул. Розы Люксембург, д. 30; отдел г.Иркутск, пер. 15-й Советский, д. 4",,,,,
,57,"Эстрада, ООО, 3808113040","г.Иркутск, пер. Хасановский, д. 1","38ме №005191, лиц.№АН00684 от 24.11.2009, действ.до 24.11.2014","ресторан г.Иркутск, пер. Хасановский, д. 1",,,,,
,58,"Троодос, ООО, 3808085628","г.Иркутск, ул. Киевская, д. 27а","38ме №004693, лиц.№АН00479 от 29.05.2008, действ.до 29.05.2013","магазин г.Иркутск, ул. Рабочего штаба, д. 35",,,,,
,59,"Вокер, ООО, 3808116650","г.Иркутск, ул. Сухэ-Батора, д. 7","38ме №004682, лиц.№АН00474 от 20.05.2008, действ.до 20.05.2013","кафе г.Иркутск, ул. Сухэ-Батора, д. 7",,,,,
,60,"Исток-Байкал, ООО, 3811087640","г.Иркутск, ул. Донская, д. 12, оф. 50","38ме №003348, лиц.№АП03271Пр6 от 15.06.2010, действ.до 19.06.2012","магазин г.Иркутск, м/р-н Первомайский, д. 14/А; магазин г.Иркутск, ул. Миронова, д. 56; кафе г.Иркутск, ул. Октябрьской Революции, д. 1; магазин с.Хомутово, ул. Трактовая, д. 1; закусочная с.Хомутово, ул. Трактовая, д. 1",,,20.06.2012 по истечению срока действия; ,,
,61,"Эдельвейс, ООО, 3811094710","г.Иркутск, ул. Бородина, д. 23","38ме №003469, лиц.№АН00601Пр от 11.11.2010, действ.до 30.12.2013","магазин г.Иркутск, ул. Бородина, д. 23; магазин г.Иркутск, ул. Партизанская, д. 45",,,20.06.2012 Решение №504-02-2622/12 от 20.06.2012;,,
,62,"Звездочка, ООО, 3810039690","г.Иркутск, ул. Киренская, д. 35","38ме №0003253, лиц.№АН00410Пр от 02.02.2010, действ.до 04.12.2012","магазин г.Иркутск, пер. Пограничный, д. 1в",,,,,
,63,"Бриз, ООО, 3810039121","г.Иркутск, ул. Севастопольская, д. 237, оф. 131","38ме №005025, лиц.№АН00634Пр от 06.05.2009, действ.до 28.04.2014","павильон г.Иркутск, ул. Розы Люксембург, д. 33",,,,,
,64,"Лотос, ООО, 3808129988","г.Иркутск, ул. Нижняя Набережная, д. 12б","38ме №004556, лиц.№АН00414 от 12.12.2007, действ.до 12.12.2012","бар г.Иркутск, ул. Нижняя Набережная, д. 12б",,,,,
,65,"Продсервис, ООО, 3812084352","г.Иркутск, м/р-н Университетский м/р, д. 67, оф. б/с6/","38ме №005194, лиц.№АН00687 от 25.11.2009, действ.до 25.11.2014","магазин г.Иркутск, ул. Лермонтова, д. 91а",,,,,
,66,"Эдем, ООО, 3811094277","г.Иркутск, ул. Красноярская, д. 71а","38ме №004917, лиц.№АН00590 от 25.12.2008, действ.до 28.12.2013","магазин г.Иркутск, ул. Красноярская, д. 71а; магазин г.Иркутск, ул. 4-я Советская, д. 8; магазин г.Иркутск, ул. Байкальская, д. 201а",,,,,
,67,"Марина, ООО, 3811095104","г.Иркутск, пер. Пограничный, д. 3","38ме №004904, лиц.№АН00580 от 22.12.2008, действ.до 29.12.2013","магазин г.Иркутск, пер. Пограничный, д. 3",,,,,
,68,"Блисс, ООО, 3811061786","г.Иркутск, ул. Иркутской 30-й дивизии, д. 7","38ме №005221, лиц.№АН00594Пр от 21.12.2009, действ.до 29.12.2013","магазин г.Иркутск, ул. Иркутской 30-й дивизии, д. 7; магазин г.Иркутск, ул. Карла Либкнехта, д. 157",,,,,
,69,"Центр отдыха Ерши, ООО, 3808104550","г.Иркутск, ул. Челябинская, д. 26","Д №561481, лиц.№АП03582 от 28.12.2005, действ.до 29.12.2012","кафе г.Иркутск, ул. Якоби, д. 35",,,,,
,70,"ЭММИ, ООО, 3812084458","г.Иркутск, м/р-н Юбилейный, д. ГК №5а","38ме №005080, лиц.№АН00656 от 15.07.2009, действ.до 15.07.2014","магазин г.Иркутск, ул. Уральская, д. 25",,,,,
,71,"Дуэт, ООО, 3811093668","г.Иркутск, ул. Байкальская, д. 342/2","38ме №004983, лиц.№АН00617 от 17.03.2009, действ.до 17.03.2014","кафе г.Иркутск, ул. Байкальская, д. 342/2",,,,,
,72,"Премьер, ООО, 3808110708","г.Иркутск, ул. Ленина, д. 6","38ме №004926, лиц.№АН00579Пр от 26.12.2008, действ.до 21.12.2013","отдел г.Иркутск, ул. Трактовая, д. 1 (склад № 22); отдел г.Иркутск, ул. Трактовая, д. 1 (склад № 28); отдел г.Иркутск, ул. Березовая Роща, д. 3Б (место № 35)",,,,,
,73,"Люкос, ООО, 3811104542","г.Иркутск, ул. Байкальская, д. 237, оф. 525","Д №561946, лиц.№АН00295 от 09.01.2007, действ.до 10.01.2012","магазин г.Иркутск, ул. Байкальская ост. ""ГМК"" (левая сторона)",,,11.01.2012 по истечению срока действия;,,
,74,"Клермонт, ООО, 3808149832","г.Иркутск, ул. Польских Повстанцев, д. 1","Д №561949, лиц.№АН00297 от 11.01.2007, действ.до 11.01.2012","кафе г.Иркутск, ул. Польских Повстанцев, д. 1",,,12.01.2012 по истечению срока действия;,,
,75,"Темп, ООО, 3808129480","г.Иркутск, ул. Напольная, д. 337","38ме №004665, лиц.№АН00296Пр2 от 24.04.2008, действ.до 11.01.2012","магазин г.Иркутск, ул. Напольная в районе дома № 122; павильон г.Иркутск, ул. Зимняя, д. 1",,,12.01.2012 по истечению срока действия;,,
,76,"Иркутскспецстройсервис, ООО, 3808113674","г.Иркутск, ул. Марии Цукановой, д. 4а","38ме №004256, лиц.№АН00300 от 15.01.2007, действ.до 15.01.2012","бар г.Иркутск, ул. Марии Цукановой, д. 4а",,,16.01.2012 по истечению срока действия;,,
,77,"Шанс, ООО, 3812084962","г.Иркутск, м/р-н Первомайский, д. 11а, оф. 20","38ме №004258, лиц.№АН00301 от 16.01.2007, действ.до 16.01.2012","магазин г.Иркутск, ул. Лермонтова (Студгородок, ост. ""Трамвайное кольцо"")",,,17.01.2012 по истечению срока действия;,,
,78,"Пятерочка, ООО, 3811105257","г.Иркутск, ул. Байкальская, д. 252а","38ме №005026, лиц.№АН00302Пр5 от 07.05.2009, действ.до 24.01.2012","отдел г.Иркутск, м/р-н Первомайский, д. 54; отдел г.Иркутск, ул. Ярославского, д. 264; отдел г.Черемхово, ул. Плеханова, д. 4; отдел г.Байкальск, м/р-н Гагарина, д. 215; отдел г.Иркутск, бул. Рябикова, д. 20б; отдел г.Иркутск, ул. Трактовая, д. 18",,,25.01.2012 по истечению срока действия;,,
,79,"Людмила, ООО, 3812086529","г.Иркутск, ул. Лермонтова, д. 277б","38ме №004274, лиц.№АН00304 от 31.01.2007, действ.до 31.01.2012","магазин г.Иркутск, ул. Лермонтова, д. 277б",,,01.02.2012 по истечению срока действия;,,
,80,"Максим, ООО, 3811099973","г.Иркутск, ул. Байкальская, д. 257, оф. 6","38ме №004279, лиц.№АН00307 от 02.02.2007, действ.до 04.02.2012","отдел г.Иркутск, ул. Депутатская - ул. Зверева",,,05.02.2012 по истечению срока действия;,,
,81,"Огонёк, ООО, 3811098641","г.Иркутск, ул. 4-я Советская, д. 54","38ме №004792, лиц.№АН00308Пр от 24.09.2008, действ.до 21.02.2012","магазин г.Иркутск, ул. Трудовая -ул. 4-я Советская",,,22.02.2012 по истечению срока действия;,,
,82,"РеалАН, ООО, 3808137851","г.Иркутск, ул. Степана Разина, д. 27","38ме №004292, лиц.№АН00309 от 21.02.2007, действ.до 21.02.2012","кафе г.Иркутск, ул. Карла Маркса, д. 26",,,22.02.2012 по истечению срока действия;,,
,83,"СамБери, ООО, 3811105183","г.Иркутск, ул. Пискунова, д. 150/2","38ме №004297, лиц.№АН00311 от 01.03.2007, действ.до 01.03.2012","магазин г.Иркутск, ул. Пискунова, д. 150/2",,,02.03.2012 по истечению срока действия;,,
,84,"Сиб-Ком-Ленд, ООО, 3808048584","г.Иркутск, ул. Партизанская, д. 1, оф. 20","38ме №003354, лиц.№АН00313Пр от 18.06.2010, действ.до 13.03.2012","магазин г.Иркутск, ул. Пискунова (у дома № 81); магазин г.Иркутск, ул. Станиславского, д. 13",,,14.03.2012 по истечению срока действия;,,
,85,"ЛатКом, ООО, 3808148268","г.Иркутск, ул. Октябрьской Революции, д. 1","38ме №004722, лиц.№АН00314Пр2 от 03.07.2008, действ.до 15.03.2012","отдел г.Иркутск, ул. Рабочая (рынок ""Ушаковский""); отдел д. Малая Топка, ул. Ключевая, д. 1а; павильон г.Иркутск, ул. Баррикад, д. 32а",,,16.03.2012 по истечению срока действия;,,
