Табл. А.1.1. Описание услуги: правовая база*,,,,,,,,,
,,,,,,,,,
№,"Правовые акты, в соответствии с которыми предоставляется услуга ",,Противоречение с нормами ФЗ №210,,,,,,
,"Укажите все акты, определяющие основания предоставления услуги и порядок предоставления (включая реквизиты)",,"Если нормы акта вступают в прямое или косвенное в противоречие с нормами ФЗ №210, укажите номер(а) статьи(ей), содержащей указанные противоречия",,,,,,
1,"Налоговый кодекс Российской Федерации, часть первая от 31 июля 1998 г. N 146-ФЗ и часть вторая от 5 августа 2000 г. N 117-ФЗ",,,,,,,,
2,"Федерального закона от 22.11.1995 № 171 ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и ограничении потребления (распития) алкогольной продукции""",,,,,,,,
3,"Федерального закона от 08.02.1998 № 14-ФЗ ""Об обществах с ограниченной ответственностью""",,,,,,,,
4,"Постановление Губернатора Камчатского края от 22.03.2011 № 55 ""О структуре исполнительных органов государственной власти Камчатского края""",,,,,,,,
5,"Постановление Правительства Камчатского края от 25.04.2011 № 152-П ""Об утверждении Положения о Министерстве экономического развития и торговли Камчатского края""",,,,,,,,
6,"Административный регламент
предоставления государственной услуги  по выдаче лицензий 
на розничную продажу алкогольной продукции,  утвержденный приказом Министерства от от 02 июня 2010г.  № 70 ",,не соответствует,,,,,,
,,,,,,,,,
,,,,,,,,,
Табл. А.1.2. Описание услуги: перечень подуслуг*,,,,,,,,,
,,,,,,,,,
№,Наименование подуслуги,Срок предоставления подуслуги,Тип получателя,Платность предоставления подуслуги,,,,,
,Укажите наименование подуслуги,Укажите срок предоставления подуслуги,"Введите код:
1 - граждане России;
2 - иностранные граждане;
3 - индивидуальные предприниматели;
4 - организации ","Введите код:
1 - платная подуслуга,
2 - бесплатная подуслуга","Для платных подуслуг укажите наименование, реквизиты соответствующего НПА и статью. Для услуг, предоставляемых бесплатно, оставьте поле незаполненным",,,,
1,Выдача лицензии на розничную продажу алкогольной продукции,30 дней,4,1,п. 18 ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ ,,,,
2,Переоформление лицензии на розничную продажу алкогольной продукции,30 дней,4,1,п. 18 ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,,,,
3,Продление срока действия лицензии на розничную продажу алкогольной продукции,30 дней,4,1,п. 18 ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,,,,
4,Прекращение действия лицензии на розничную продажу алкогольной продукции,3 дня,4,2,,,,,
,,,,,,,,,
,,,,,,,,,
Табл. А.1.3. Описание услуги: перечень входных документов*,,,,,,,,,
,,,,,,,,,
№,"Наименование ""входного"" документа услуги","Перечень подуслуг, для предоставления которых необходим документ",Правовые основания для получения документа,Способ получения документа - фактическое состояние,Источник документа - фактическое состояние,Наименование источника документа,"В соответствии с ФЗ №210, подлежит получению по каналам межвед. взаимодействия",Почему данный документ не подлежит получению по каналам межвед. взаимодействия?,Может ли данный документ быть признан избыточным и исключён из перечня необходимых для предоставления услуги?
,Укажите наименование документа,"Перечислите номера подуслуг (из таблицы А.1.2), для предоставления которых необходим данный документ","Укажите наименование и реквизиты акта, в соответствии с которым для предоставления услуги используется данный документ","Введите код:
1 - предоставляется заявителем,
2 - получается по каналам межведомственного взаимодействия,
3 - получается по каналам межуровневого взаимодействия,
4 - получается по каналам внутриведомственного взаимодействия.","Введите код:
1 - составляется заявителем,
2 - выдаётся в рамках предоставления государственной или муниципальной услуги, исполнения функции 
3 - выдаётся организацией бюджетного сектора,
 4 - выдаётся коммерческой организацией, физическим лицом","Для всех документов, кроме составляемых заявителем, укажите наименование органов или организаций, выдающих документы. Для документов, составляемых заявителем, оставьте поле незаполненным","Введите код:
1 - да, подлежит,
2 - нет, не подлежит.","Введите код: 
1 - документ входит в перечень лично предоставляемых, 
2 - документ, является результатом предоставления необходимых и обязательных услуг, 
3 - документ отсутствует в распоряжении органов власти, местного самоуправления, подведомственных организаций","Введите код:
1 - да, может,
2 - нет, не может."
1,Заявление о выдаче лицензии,"1,2,3,4",ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,1,1,,2,1,2
2,Копия учредительных документов,1.2,ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,1,1,,2,1,1
3,Копия документа о государственной регистрации организации юидического лица,1,ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,1,2,ФНС России,1,,2
4,Копия документа о постановке организации на учет в налоговый орган,1,ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,1,2,ФНС России,1,,2
5,Копия документа об оплате государственной пошлины за предоставление лицензии,"1,2,3",ст. 19 Федерального закона от 22.11.1995 № 171-ФЗ,1,2,Федеральное казначейство,1,,2
6,Документ подтверждающий наличие у заявителя уставного капитала,,,,,,,,
6.1,"справку банка, подтверждающую зачисление на расчетный счет денег в оплату уставного капитала, подписанную руководителем и главным бухгалтером банка, а также копии первичных платежных документов",1,"ст. 19 Федерального закона от 22.11.1995 № 171;
гл. III Федерального закона от 08.02.1998 № 14-ФЗ",1,4,,2,3,2
6.2,"копию документа, подтверждающего право собственности акционера (участника) на имущество, с приложением отчета об оценке объектов оценки и акта приема-передачи имущества",1,"ст. 19 Федерального закона от 22.11.1995 № 171;
гл. III Федерального закона от 08.02.1998 № 14-ФЗ",1,1.4,,2,3,2
6.3,"копию протокола заседания органа управления организации, в котором зафиксировано соответствующее решение об изменении уставного капитала (уставного фонда), с приложением баланса организации, на основании которого принято решение о капитализации, и баланса на последнюю отчетную дату, отражающего увеличение уставного капитала (уставного фонда)",1,"ст. 19 Федерального закона от 22.11.1995 № 171;
гл. III Федерального закона от 08.02.1998 № 14-ФЗ",1,1.4,,2,3,2
7,"Документ, подтверждающий наличие у заявителя стационарных торговых объектов и складских помещений в собственности, хозяйственном ведении, оперативном управлении или в аренде, срок которой определен договором и составляет один год и более",,,,,,,,
7.1,свидетельство о государственной регистрации права собственности,1.2,ст. 19 Федерального закона от 22.11.1995 № 171,1,2,Росреестр,1,,2
7.2,"документ, подтверждающий возникновение права собственности на торговые и складские помещения до момента вступления в силу Федерльного закона ""О Государственной регистрации прав на недвижимое имущество и сделок с ним""  ",1.2,ст. 19 Федерального закона от 22.11.1995 № 171,1,2,,2,1,2
7.3,договор о закреплении имущества на праве хозяйственного ведения или оперативного управления;  ,1.2,ст. 19 Федерального закона от 22.11.1995 № 171,1,2,Росреестр,1,,2
7.4,договор аренды на срок один год и более; ,1.2,ст. 19 Федерального закона от 22.11.1995 № 171,1,2,Росреестр,1,,2
8,Заключения специально уполномоченных государственных органов о соответствии стационарных торговых объектов и складских помещений заявителя санитарно-эпидемиологическим требованиям,1.2,ст. 19 Федерального закона от 22.11.1995 № 171,1,2,Роспотребнадзор,1,,2
9,"Справка об исполнении налогоплательщиком обязанности по уплате налогов, сборов, страховых взносов, пней и налоговых санкций",1.3,ст. 19 Федерального закона от 22.11.1995 № 171,2,2,ФНС России,1,,2
