Табл. А.6. Правила обмена данными по запросам в ходе предоставления услуги*,,,,,,,,,,,,
,,,,,,,,,,,,
,Описание запроса,,,,,,Описание ответа на запрос,,,,,
№,Наименование запроса,"Орган, ответственный
за направление запроса","Орган, ответственный за направление ответа на запрос",Срок направления запроса,Способ направления запроса,"Перечень сведений, передаваемых в составе запроса",Срок направления ответа на запрос,Способ направления ответа на запрос,"Перечень сведений, передаваемых в составе полей формы ответа на запрос","Перечень сведений, передаваемые в виде приложенных документов",Источник данных,
,"Скопируйте из таблицы
А.3. Перечень запросов.","Скопируйте из таблицы
А.3. Перечень запросов.","Скопируйте из таблицы
А.3. Перечень запросов.","Скопируйте из таблицы
А.4.1. Описание запроса: общее описание.","Скопируйте из таблицы
А.4.1. Описание запроса: общее описание.","Скопируйте из таблицы
А.4.2. Описание запроса: состав сведений, однако разместите их в одной ячейке таблицы.","Скопируйте из таблицы
А.5.1. Описание ответа на запрос: общее описание.","Скопируйте из таблицы
А.5.1. Описание ответа на запрос: общее описание.","Скопируйте из таблицы
А.5.2. Описание ответа на запрос: состав сведений те сведения, которые имеют код типа данных 1, 2 и 3. Разместите их в одной ячейке таблицы.","Скопируйте из таблицы
А.5.2. Описание ответа на запрос: состав сведений те сведения, которые имеют код типа данных 4. Разместите их в одной ячейке таблицы.","Скопируйте из таблицы
А.5.2. Описание ответа на запрос: состав сведений наименования всех АИС. Разместите их в одной ячейке таблицы.",
1,Выписка из ЕГРЮЛ,Управление по развитию промышленности и предпринимательства Тамбовской  области,ФНС России,в течении 3 дней,1,"ОГРН, ИНН",в течении 5 дней,1,"1. Идентификационные сведения о выписке; 2. Сведения об орган. Правовой форме и наименование юр. лица; 3. Сведения об адресе (месте нахождения) юр. лица; 4. Сведения, о правоспособности (статусе) юр. лица и рег. Органе по месту нахождения юр. лица; 5. Сведения об образовании юр. лица; 6. Сведения о прекращении деятельности юр. лица; 7. Сведения о правопреемстве; 8. Сведения об уставном капитале; 9. Сведения, о физ. лицах, имеющих право без доверенности действовать от имени юр. лица; 10. Сведения об управляющей организации; 11. Сведения об учете в налоговом органе.",,"АИС ""Налог""",
2,"Сведения о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах",Управление по развитию промышленности и предпринимательства Тамбовской  области,ФНС России,в течении 3 дней,1,"ОРГН,ИНН",в течении 5 дней,1,"1. Идентификационные сведения о выписке; 2. Сведения об орган. Правовой форме и наименование юр. лица; 3. Сведения об адресе (месте нахождения) юр. лица;4. Результат по уплате налогов, сборов, пеней и налоговых санкций",,"АИС ""Налог""",
3,Сведения об оплате государственной пошлины,Управление по развитию промышленности и предпринимательства Тамбовской  области,УФК по Тамбовской области,в течении 3 дней,1,Идентицикационный номер (ИНН); период времени за который требуется получить сведения,в течении 5 дней,1,"1 Информация о факте оплаты
1.1. Сумма оплаты
1.2. КБК
1.3. Назначение платежа
1.4. ИНН получателя
1.5. КПП получателя
1.5. ОКАТО",,УНИФО,
4,Сведения из ЕГРП,Управление по развитию промышленности и предпринимательства Тамбовской  области,Росреестр по Тамбовской области,в течении 3 дней,1,"
Сведения об объекте недвижимости; сведения о собственнике ",в течении 5 дней,1,"1. Описание объекта недвижимости     
2. Адрес объекта недвижимости     
3. Сведения о правообладателях - юридических лицах     
4. Сведения о правообладателях - физических лицах     
5. Сведения о правообладателях - публичных образованиях     
6. Права     
7. Ограничения (обременения) права         
8. Сведения о правопритязаниях",,"ПК ИС ЕГРП,
АИС ""Юстиция""",
5,Заключение специально уполномоченных органов о соответствии торговых и складских помещений организации санитарно-эпидемиологическим требованиям,Управление по развитию промышленности и предпринимательства Тамбовской  области,"ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области"" (Роспотребнадзор)",в течении 3 дней,1,"ОГРН, ИНН, полное наименование заявителя, краткое наименование заявителя",в течении 5 дней,1,"1. Наименование территориального органа, выдавшего санитарно-эпидемиологическое заключение;Номер заключения; 2. Дата заключения; 3. Информация о соответствии государственным санитарно-эпидемиологическим правилам и нормативам; 4. ОГРН (для организаций, получивших заключение после 01.07.2011); 5.  ИНН (для организаций, получивших заключение после 01.07.2011); 6. Наименование организации - получателя заключения ; 7. Место нахождения организации - получателя заключения (указывается, если было указано при заполнении заявления на получение заключения); 8.  Название объекта, на который было выдано заключение; 9.  Адрес объекта, на который было выдано заключение; 10. текст приложения к заключению.",,Реестр заключений,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
