Табл. А.4.1.4. Описание запроса 4: общее описание*,,,,Табл. А.5.1.4. Описание ответа на запрос 1.4: общее описание***,,
,,,,,,
№,Наименование поля,"Поле для заполнения
Потребителем данных*","Краткая инструкция 
по заполнению",Наименование поля,"Поле для заполнения
Поставщиком данных***","Краткая инструкция
 по заполнению"
1.  ,Наименование запроса,Сведения из ЕГРП о правах отдельного лица,"Скопируйте из таблицы 
А.3. Перечень запросов.",Наименование запроса,Сведения из ЕГРП о правах отдельного лица,"Скопируйте из таблицы 
А.3. Перечень запросов."
2.  ,"Наименование органа (организации), направляющей запрос о предоставлении документов и (или) информации",Минэкономразвития Камчатского края, -,"Наименование органа (организации), направляющей ответ на запрос о предоставлении документов и (или) информации",Росреестр, -
3.  ,"Наименование органа (организации), в адрес которой направляется запрос о предоставлении документов и (или) информации",Росреестр, -,"Наименование органа (организации), в адрес которой направляется ответ на запрос о предоставлении документов и (или) информации",Минэкономразвития Камчатского края, -
4.  ,"Полное наименование государственной или муниципальной услуги, для предоставления которой необходимо предоставление документа и (или) информации",Выдача  лицензии на розничную продажу алкогольной продукции, -,,,
5.,"Указание на положения нормативного правового акта, в котором установлено требование о предоставлении необходимого для предоставления услуги документа и (или) информации, и указание на реквизиты данного нормативного правового акта","ст. 19 Федерального закона от 22.11.1995 № 171 ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и ограничении потребления (распития) алкогольной продукции""", -,,,
6.,Наименование запрашиваемого документа (совокупности сведений),Свидетельство о государственной регистрации права собственности,"Скопируйте из таблицы 
А.3. Перечень запросов.",Наименование направляемого документа (совокупности сведений),Свидетельство о государственной регистрации права собственности,"Скопируйте из таблицы 
А.3. Перечень запросов."
7.,"Способы удостоверения лица, направившего запрос, и неизменности запроса ",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.","Способы удостоверения лица, направившего ответ на запрос, и неизменности ответа ",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе."
8.,Способ направления запроса,1 - по каналам СМЭВ,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером, 
7 - другое или сочетание способов.",Способ направления ответа на запрос,1 - по каналам СМЭВ,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером, 
7 - другое или сочетание способов."
8.1.,"Способ направления запроса, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных.","Способ направления ответа на запрос, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных."
9.,Срок направления запроса,в течении 1-5 дней после получения заявления ,Укажите срок направления запроса с момента начала предоставления услуги,Срок направления ответа на запрос,14,"Укажите срок с момента получения запроса, в течение которого будет направлен ответ на запрос."
,,,,,,
,,,,,,
Табл. А.4.2.4. Описание запроса 4: состав сведений***,,,,,,
,,,,,,
№,"Описание сведений, передаваемых в составе запроса",Тип данных,,Источник данных*,,
