Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
,,,,,,"5)г. Тобольск, 9 микрорайон, д. 1, первый этаж, гостиница ""Славянская"", бар ""Александра"" (общепит) (открыт 07.02.05)
6)г. Тобольск, 9 микрорайон, д. 1, второй этаж, гостиница ""Славянская"", бар ""Березовый"" (общепит) (открыт 07.02.05)
",,,,
,,,,,,"7)г. Тобольск, 9 микрорайон, д. 1, второй этаж, гостиница ""Славянская"", бар ""Распутин"" (общепит) (открыт 07.02.05)
8)Тюменская область, Тобольский район, с. Абалак, ул. Советская, д. 50, трактир ""Белая Сова"" (общепит) открыт 07.02.08)
",,,,
,,,,,,,,,,
101,"ООО ""Новые технологии управления"" (ООО ""НТУ""), юр.адрес: Российская Федерация, 625048, г. Тюмень, ул. М.Горького, д. 74
руков.:Важенин М.Ю., тел. 39-68-12  39-68-10",ИНН 7202131418  ОГРН 1047200672430,14/02/2005,72-РАП №2257,13/02/2013,"1)г.Тюмень, ул.Горького, 74, ресторация ""Адриатика"" 2-й эт.  (общепит) (открыт 14.02.05) (временно закрыт вх.№1589 от 30.09.08)
2)г.Тюмень, ул.Горького, 74, бар ночного клуба, 1 эт.  (общепит)  (открыт 14.02.05) временно закрыт вх.№1589 от 30.09.08)
",продлена реш. №52 от 20/02/2008  до 13/02/2013, Прим: Дата проверки 04.10.06 (отбор проб),Управление Л и РПР ТО,
,,,,,,"3)г.Тюмень, ул.Горького, 74, стрип-зоны, 2-й этаж  (общепит)  (открыт 14.02.05) временно закрыт вх.№1589 от 30.09.08)
4)г.Тюмень, ул.Горького, 74, бар, казино, 1й эт (до 15%) (общепит)  (открыт 14.02.08) временно закрыт вх.№1589 от 30.09.08)
",,,,
,,,,,,"5)г. Тюмень, ул. Хохрякова, д. 47, ресторан ""Гринвич"" (Pab & whiski bar ""GREENWICH"" (общепит) (открыт 08.08.08)
",,,,
102,"ПО ""Борковское потребительское общество"", юр.адрес: Тюменская область, Тюменский район, с. Борки, ул. Советская, д. 28
руков.:Кониловский В.И., тел. 773-238  77-00-77",ИНН 7224008753 ОГРН 1027200818182,21/02/2005,72-РАП №2279,20/02/2013,"1)Тюменская область, Тюменский район, с. Каскара, ул. Школьная, д. 11/1, гастроном (открыт 21.02.05)
2)Тюменская область, Тюменский район, с. Борки, ул. Строителей, д. 1-б, мини-маркет (открыт 05.03.05)
",продлена реш. №30 от 12/02/2008  до 20/02/2013, Прим: Дата проверки 18.06.07 (обращение в Арбитраж.Суд об аннулиров.лиц. реш.396 от 20.06.07)  Отказано в удовлетворении требован. (реш.Арбитраж.Суда от 17.07.07) 3.Дата проверки 22.10.2008 (без нарушений),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Тюменский район, д. Щербак, ул. Центральная, д. 25-а, магазин ""ТПС"" (открыт 05.03.05)
4)Тюменская область, Тюменский район, с. Борки, ул. Советская, д. 28, гастроном (открыт 27.06.05)
",,,,
,,,,,,"5)Тюменская область, Тюменский район, с. Борки, ул. Кооперативная, д. 12, магазин (открыт 27.06.05)
",,,,
103,"ПО ""Ражевское сельское потребительское общество"", юр.адрес: Россия, Тюменская область, Голышмановский район, с. Ражево
руков.:Смирнова Н.П., тел. (34546) 55-140",ИНН 7214000018  ОГРН 1027201554390,01/03/2005,72-РАП №2299,28/02/2013,"1)Тюменская область, Голышмановский район, с. Ражево, ул. Октярьская, д. 6, магазин (открыт 01.03.05)
2)Тюменская область, Голышмановский район, с. Ражево, ул. Центральная, д. 99, магазин (открыт 01.03.05)
",продлена реш. №71 от 29/02/2008  до 28/02/2013,,Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Голышмановский район, с. Ражево, ул. Строительная, д. 8, магазин (открыт 01.03.05)
4)Тюменская область, Голышмановский район, с. Средние Чирки, ул. Советская, д. 29, магазин (открыт 01.03.05)
",,,,
,,,,,,"5)Тюменская область, Голышмановский район, с. Средние Чирки, ул. Советская, д. 9, магазин (открыт 01.03.05)
6)Тюменская область, Голышмановский район, д. Мелкозерова, ул. Набережеая, д. 18, магазин (открыт 01.03.05)
",,,,
,,,,,,"7)Тюменская область, Голышмановский район, д. Турлаки, ул. Центральная, д. 8, магазин (открыт 01.03.05)
8)Тюменская область, Голышмановский район, д. Лапушина, ул. Мельникайте, д. 16, магазин (открыт 01.03.05)
",,,,
,,,,,,"9)Тюменская область, Голышмановский район, д. Усть-Малые Чирки, ул. 60 лет СССР, д. 3, магазин (открыт 01.03.05)
10)Тюменская область, Голышмановский район, д. Козловка, ул. Центральная,  д. 21, магазин (открыт 01.03.05)
",,,,
,,,,,,"11)Тюменская область, Голышмановский район, д. Малоемецк, ул. Молодежная,  д. 11, магазин (открыт 01.03.05)
12)Тюменская область, Голышмановский район, д. Земляная, ул. Новая,  д. 6, магазин (открыт 01.03.05)
",,,,
,,,,,,"13)Тюменская область, Голышмановский район, д. Брованово, ул. Северная, д. 25, магазин (открыт 01.03.05)
14)Тюменская область, Голышмановский район, д. Скаредная, ул. Советская, д. 4, магазин (открыт 01.03.05)
",,,,
,,,,,,,,,,
104,"ООО ""Лидия"", юр.адрес: 626102, Тюменская область, г. Тобольск, п. Сумкино, ул. Водников, д. 3
руков.:Антоненко Л.А., тел. (3456) 260-999",ИНН 7206004509  ОГРН 1027201291369  (дата регистрации 02.12.93),12/03/2005,72-РАП №2322,11/03/2013,"1)Тюменская область, г. Тобольск, п. Сумкино, ул. Мира, д. 4, магазин ""Лидия"" (открыт 12.03.05)
2)Тюменская область, г. Тобольск, п. Сумкино, ул. Водников, д. 3, магазин ""Престиж"" (открыт 12.03.05)
",продлена реш. №98 от 12/03/2008  до 11/03/2013, Прим: Дата проверки 14.11.2006 (отбор проб)  2. Переоформление реш.257 от 25.04.2007 (изменение юр.адреса)  3. Переоформление реш. 98 от 12.03.08 (изменение юр.адреса),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, г. Тобольск, п. Сумкино, ул. Нагорная, д. 3, магазин ""Мини-маркет"" (открыт 12.03.05)
4)Тюменская область, г. Тобольск, п. Сумкино, ул. Заводская, д. 1 А, магазин ""Гастрономъ"" (открыт 20.12.11)
",,,,
,,,,,,,,,,
105,"ОАО ""Бердюжьеагрострой"", юр.адрес: Российская Федерация, 627440, Тюменская область, Бердюжский район, с. Бердюжье, ул. Свердлова, д. 16
руков.:Неймишев П.М., тел. (34554) 2-22-59  2-17-99  2-22-60, факс (34554) 2-22-59",ИНН 7211000147  ОГРН 1027201554742 (дата регистрации 03.10.02),30/03/2005,72-РАП №2369,29/03/2013,"1)Тюменская область, Бердюжский район, с. Бердюжье, ул. Мелиоративная, д. 14, кафе ""Максимыч"" (общепит)  (открыт 30.03.05)
2)Бердюжский р-н, с. Бердюжье, ул. Свердлова, д. 16, нежилые помещения № 2, магазин ""Смешанные товары""  (открыт 30.03.08)
",продлена реш. №155 от 31/03/2008  до 29/03/2013, Прим: Дата проверки 19.03.08 (замечание),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Бердюжский район, с. Бердюжье, ул. Маяковского, д. 30, строение 1, магазин ""Смешанные товары"" (открыт 23.01.12)
",,,,
106,"ООО ""Интерстройторг"", юр.адрес: Российская Федерация, 625001, Тюменская область, г. Тюмень, ул. Военная, д. 27/1
руков.:Бочковский А.А., тел. 43-50-72 8-922-260-4070",ИНН 7224023222  ОГРН 1027200785974 (дата регистрации 19.10.01),06/04/2005,72-РАП №2386,05/04/2013,"1)г. Тюмень, ул. Военная, д. 27/1, магазин ""Сияние севера"" (открыт 06.04.05)
2)г. Тюмень, ул. Военная, д. 27/1, закусочная (общепит)  (открыт 20.12.10)
",продлена реш. №158 от 02/04/2008  до 05/04/2013, Прим: Дата проверки 06.04.07 (отбор проб)  2.Дата проверки 17.05.10 (замечание),Управление Л и РПР ТО,
,,,,,,,,,,
107,"ПО ""Исетское районное потребительское общество"" (Исетское райПО), юр.адрес: 626380, Тюменская область, Исетский район, с. Исетское, ул. Первомайская, д. 31
руков.:Мальцев А.М., тел. 21-396",ИНН 7216000133 ОГРН 1027201463310,07/04/2005,72-РАП №2387,06/04/2013,"1)Тюменская область, Исетский район, с. Исетское, ул. Первомайская, д. 75/2, магазин ""Смешанные товары"" (открыт 07.04.05)
2)Тюм.область, Исетский район, с. Исетское, ул. Чкалова, д. 6, магазин ""Продукты ""Кулинария"" (общепит) (открыт 07.04.05)
",продлена реш. №162 от 04/04/2008  до 06/04/2013, Прим: Дата проверки 01.04.2009 (замечание),Управление Л и РПР ТО,
,,,,,,"3)Исетский район, с. Исетское, ул. Чкалова, д. 6, буфет в столовой ""Исеть"" (общепит) (открыт 07.04.05)
4)Тюменская область, Исетский район, с. Бархатово, ул. Гагарина, д. 51 а, магазин ""ТПС"" (открыт 05.05.08)
",,,,
,,,,,,"5)Тюменская область, Исетский район, д. Гаева, ул. Ленина, д. 57, магазин ""Смешанные товары"" (открыт 05.05.08)
6)Тюменская область, Исетский район, с. Рассвет, ул. Ленина, д. 15/2, магазин ""Смешанные товары"" (открыт 05.08.08)
",,,,
,,,,,,"7)Тюменская область, Исетский район, с. Бобылево, ул. Мира, д. 13, магазин ""Смешанные товары"" (открыт 05.05.08)
8)Тюменская область, Исетский район, д. Лобанова, ул. Школьная, д. 22, магазин ""Смешанные товары"" (открыт 05.05.08)
",,,,
,,,,,,"9)Тюменская область, Исетский район, с. Верхний Ингал, ул. Б. Янтимирова, д. 15, магазин ""Смешанные товары"" (открыт 05.05.08)
10)Тюменская область, Исетский район, с. Минино, ул. Мира, д. 12, магазин ""Смешанные товары"" (открыт 07.04.05)
",,,,
,,,,,,"11)Тюменская область, Исетский район, с. Солобоево, ул. Советская, д. 56, магазин ""ТПС"" (открыт 05.05.08)
12)Тюменская область, Исетский район, с. Исетское, ул. Советская, д. 46, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"13)Тюменская область, Исетский район, с. Красново, ул. Мира, д. 76, магазин ""Смешанные товары"" (открыт 30.05.08)
14)Тюменская область, Исетский район, с. Шорохово, ул. Калинина, д. 60 а, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"15)Тюменская область, Исетский район, п. Коммунар, ул. Ленина, д. 38/1, магазин ""Смешанные товары"" (открыт 30.05.08)
16)Тюменская область, Исетский район, с. Верхнебешкиль, ул. Советская, д. 45, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"17)Исетский район, с. Слобода-Бешкиль, ул. Старцева, д. 47 помещение 1, магазин ""Смешанные товары"" (открыт 30.05.08)
18)Тюменская область, Исетский район, с. Денисово, ул. Первомайская, д. 10, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"19)Тюменская область, Исетский район, д. Сизикова, ул. Механизаторов, д. 15, магазин ""Смешанные товары"" (открыт 07.04.05)
20)Тюменская область, Исетский район, д. Созонова, ул. Заречная, д. 10, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"21)Тюменская область, Исетский район, п. Зерновой, ул. Октябрьская, д. 2, магазин ""Смешанные товары"" (открыт 30.05.08)
22)Тюменская область, Исетский район, п. Школьный, ул. Сосновая, д. 1, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"23)Тюменская область, Исетский район, с. Красногорское, ул. Центральная, д. 28, магазин ""Смешанные товары"" (открыт 30.05.08)
24)Тюменская область, Исетский район, д. Батени, ул. 50 лет Октября, д. 16, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"25)Тюменская область, Исетский район, с. Станичное, ул. Курганская, д. 55, магазин ""Смешанные товары"" (открыт 30.05.08)
26)Тюменская область, Исетский район, д. Лога, ул. Торговая, д. 7, магазин ""Смешанные товары"" (открыт 07.04.05)
",,,,
,,,,,,"27)Тюменская область, Исетский район, д. Ботники, ул. Береговая, д. 29 а, магазин ""Смешанные товары"" (открыт 30.05.08)
28)Тюменская область, Исетский район, д. Малыши, ул. Молодежная, д. 44, магазин ""Смешанные товары"" (открыт 30.05.08)
",,,,
,,,,,,"29)Тюменская область, Исетский район, д.Онуфриево, ул Школьная, д. 2, магазин  ""Смешанные товары"" (открыт 27.04.2009)
30)Исетский район, с. Исетское, ул. Первомайская, д. 31А, стр. 1, помещение 1,магазин ""Продукты"" (открыт 07.04.05)
",,,,
,,,,,,,,,,
108,"ООО ""АРСИ"", юр.адрес: 625048, Российская Федерация, г. Тюмень, ул. 50 лет Октября, д. 3, корпус 1/3
руков.:Арзуманян С.А., тел. 47-01-87",ИНН 7202131224  ОГРН 1047200670120,19/04/2005,72-РАП №2409,18/04/2013,"1)г. Тюмень, ул. Монтажников, д. 1/1, магазин № 1 (открыт 19.04.05)
2)г. Тюмень, ул. Севастопольская, д. 4, корпус 1/2, магазин № 2 (открыт 12.08.05)
",продлена реш. №184 от 16/04/2008  до 18/04/2013, Прим: Дата проверки 21.03.07 (отбор проб)  2.Дата проверки 12.04.10 (без нарушений),Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. 50 лет Октября, д. 3, корпус 1/3, магазин № 3 (открыт 02.09.05)
4)г. Тюмень, ул. Володарского, д. 14, кафе ""Добрый вечер"" (цокольный этаж) (общепит) (открыт 28.11.07)
",,,,
,,,,,,"5)г. Тюмень, ул. Широтная, д. 148, корпус 1/9, магазин № 4 (открыт 21.04.10)
",,,,
109,"ПО ""Усть-Ламенское сельское потребительское общество"" (""Усть-Ламенское сельпо""), юр.адрес: 627305, Россия, Тюменская область, Голышмановский район, с. Усть-Ламенка, ул. Центральная, д. 32
руков.:Бабенкова Л.Ф., тел. 96-184",ИНН 7214000040  ОГРН 1027201555149,20/04/2005,72-РАП №2413,19/04/2013,"1)Тюменская область, Голышмановский район, с. Усть-Ламенка, ул. Центральная, д. 32, магазин ТПС (открыт 20.04.05)
2)Тюменская область, Голышмановский район, д. Гришино, ул. Гришинская, д. 3, магазин  ТПС (открыт 20.04.05)
",продлена реш. №190 от 18/04/2008  до 18/04/2013, Прим: Дата проверки 26.05.2009 (предписание),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Голышмановский район, д. Робчуки, ул. Смоленская, д. 19, магазин ТПС (открыт 20.04.05)
4)Тюменская область, Голышмановский район, д. Никольск, ул. Мира, д. 29,  магазин ТПС (открыт 20.04.05)
",,,,
,,,,,,"5)Тюменская область, Голышмановский район, д. Оськино, ул. Молодежная, д. 15, магазин ТПС (открыт 20.04.05)
6)Тюменская область, Голышмановский район, д. Боровлянка, ул. 60 лет Октября, д. 12, магазин ТПС (открыт 20.04.05)
",,,,
,,,,,,"7)Тюменская область, Голышмановский район, д. Горбуново, ул. Центральная, д. 19, магазин ТПС (открыт 20.04.05)
8)Тюменская область, Голышмановский район, д. Алексеевка, ул. Речная, д. 2, магазин ТПС (открыт 20.04.05)
",,,,
,,,,,,"9)Тюменская область, Голышмановский район, д. Свистуха, ул. Садовая, д. 34, магазин ТПС (открыт 20.04.05)
10)Тюм.область, Голышмановский район, с. Усть-Ламенка, ул. Советская, д. 23, магазин ТПС ""Кавказ"" (открыт 12.07.05)
",,,,
,,,,,,"11)Тюменская область, Голышмановский район, с. Усть-Ламенка, ул. Советская, д. 40, магазин ТПС (открыт 12.07.05)
12)Тюменская область, Голышмановский район, с. Усть-Ламенка, ул. Митрофанова, д. 1, магазин ТПС (открыт 12.07.05)
",,,,
,,,,,,,,,,
110,"ООО ""Мечта"", юр.адрес: 627300, Тюменская область, Голышмановский район, р.п. Голышманово, ул. Карла Маркса, д. 2 ""Б"", кв. 4
руков.:Мамедов Э.Я.о, тел. 2-81-71",ИНН 7214004206  ОГРН 1027201557228,05/05/2005,72-РАП №2451,04/05/2013,"1)Тюм.обл., Голышмановский район, р.п. Голышманово, ул. Садовая, д. 107-а, магазин ""Сибирь"" (открыт 05.05.05)
",продлена реш. №226 от 29/04/2008  до 04/05/2013, Прим: Дата проверки 26.05.2009 (предписание),Управление Л и РПР ТО,
111,"ООО ""КООПЕРАТОР  А"", юр.адрес: Тюменская область, Юргинский район, с. Юргинское, ул. Восточная, д. 4
руков.:Аксенов Н.Г., тел. 2-35-44, факс 2-35-44",ИНН 7227002157  ОГРН 1027201673036,23/05/2005,72-РАП №2476,22/05/2013,"1)Тюменская область, Юргинский район, д. Палецкая, ул. Колхозная, д. 25, магазин ТПС (открыт 23.05.05)
2)Тюменская область, Юргинский район, с. Зоново, ул. Ленина, д. 40, магазин ТПС (открыт 23.05.05)
",продлена реш. №250 от 16/05/2008  до 22/05/2013, Прим: Дата проверки 24.09.2008 (замечание),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Юргинский район, с. Агарак, ул. Советская, д. 29, магазин ТПС (открыт 23.05.05)
4)Тюменская область, Юргинский район, с. Агарак, ул. Малахова, д. 47, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,"5)Тюменская область, Юргинский район, с. С-Плетнево, ул. Ленина, д. 40, магазин ТПС (открыт 23.05.05)
6)Тюменская область, Юргинский район, с. С-Плетнево, ул. Ленина, д. 47, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,"7)Тюменская область, Юргинский район, с. Лабино, ул. Ленина, д. 3, магазин ТПС (открыт 23.05.05)
8)Тюменская область, Юргинский район, с. Володино, ул. Молодежная, д. 11, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,"9)Тюменская область, Юргинский район, с. Шипакова, ул. Ленина, д. 26, магазин ТПС (открыт 23.05.05)
10)Тюменская область, Юргинский район, с. Соколово, ул. Школьная, д. 7, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,"11)Тюменская область, Юргинский район, с. Бушуево, ул. Советская, д. 7, магазин ТПС (открыт 23.05.05)
12)Тюменская область, Юргинский район, с. Юргинское, ул. Ленина, д. 65, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,"13)Тюменская область, Юргинский район, с. Юргинское, ул. Ленина, д. 128, магазин ТПС (открыт 23.05.05)
14)Тюменская область, Юргинский район, с. Юргинское, ул. Центральная, д. 60, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,"15)Тюменская область, Юргинский район, д. Чурина, д. 27, магазин ТПС (открыт 23.05.05)
16)Тюменская область, Юргинский район, д. Заозерная, д. 40-А, магазин ТПС (открыт 23.05.05)
",,,,
,,,,,,,,,,
112,"ООО ""ЕРМАК"", юр.адрес: 627030, Тюменская область, г. Ялуторовск, ул. Лесная, № 77
руков.:Баталов А.С., тел. (345-35) 3-16-03",ИНН 7207000899  ОГРН 1027201463189,31/05/2005,72-РАП №2489,30/05/2013,"1)Тюменская область, г. Ялуторовск, ул. Свободы, д. 106, магазин ""Ермак-1"" (открыт 31.05.05)
2)Тюменская область, г. Ялуторовск, ул. Свободы, д. 196, магазин ""Ермак-3"" (открыт 12.07.05)
",продлена реш. №290 от 27/05/2008  до 30/05/2013, Прим: Проверка 04.04.12 (без нарушений),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, г. Ялуторовск, ул. Свободы, д. 196, строение 2, кафе ""Купава"" (общепит) (открыт 12.07.05)
4)Тюменская область, г. Ялуторовск, ул. Мичурина, д. 85, магазин ""Ермак-2"" (открыт 17.07.06)
",,,,
,,,,,,"5)Тюменская область, г. Ялуторовск, ул. Агеева, д. 2, магазин ""Уралочка"" (открыт 31.05.08)
",,,,
113,"ООО ""Вектор"", юр.адрес: 626142, Тюменская область, Тобольский район, с. Малая Зоркальцева, 269 км трассы Тюмень-Ханты-Мансийск
руков.:Геращенко И.Ф., тел. (3456) 33-72-97, факс (3456) 33-73-55",ИНН 7223003569  ОГРН 1027201304206,07/06/2005,72-РАП №2509,06/06/2013,"1)Тоб.р-н, Малозоркальцевкая С/А, 269 км а/д Тюмень-Х-Мансийск, стр. 3, 1 этаж, кафе ""За рулем № 1"" (общепит) (открыт 07.06.05)
2)Тоб. р-н, М-Зоркальцевская С/А, 269 км а/д Тюмень - Х-Мансийск, стр. 3, 2 этаж,кафе ""Колыба"" (общепит) (открыт 07.06.05)
",продлена реш. №318 от 04/06/2008  до 06/06/2013, Прим: Дата проверки 17.08.09 (без нарушений),Управление Л и РПР ТО,
,,,,,,"3)ТО, Тоб.р-н, Малозоркальцевкая С/А, 269 км а/д Тюмень-Х-Мансийск, стр. 4 ""в"", кафе ""За рулем № 2"" (общепит) (открыт 07.06.05)
",,,,
114,"ПО ""Червишевское"", юр.адрес: Тюменская область, Тюменский район, с. Червишево, ул. Юбилейный квартал № 41
руков.:Бондарева О.В., тел. 77-80-96",ИНН 7224009556    ОГРН 1027200860851 (дата регистрации 18.03.2004),08/06/2005,72-РАП №2513,07/06/2013,"1)Тюменская область, Тюменский район, с. Червишево, ул. Юбилейный квартал д. 41, строение 1, магазин ""Центральный"" (открыт 08.06.05)
2)Тюменская область, Тюменский район, д. Друганова, ул. Центральная, д. 15, магазин ""ТПС"" (открыт 08.06.05)
",продлена реш. №294 от 30/05/2008  до 07/06/2013, Прим: Проверка 07.06.07 (отбор проб)  2.Дата проверки 07.07.10 (замечания),Управление Л и РПР ТО,
,,,,,,,,,,
115,"ПО ""Казанское потребительское общество"" (Казанское ПО), юр.адрес: Россия, Тюменская область, Казанский район, с. Казанское, ул. Кооперативная, д. 11
руков.:Мельников Н.Ф., тел. 4-15-79",ИНН 7218003683  ОГРН 1027201229813,01/07/2005,72-РАП №2557,30/06/2013,"1)Тюменская область, Казанский район, д. Песчаное, ул. Новая, д. 16, магазин (открыт 01.07.05)
2)Тюменская область, Казанский район, п. Челюскинцев, ул. 50 лет ВЛКСМ, д. 4, магазин (открыт 01.07.05)
",продлена реш. №387 от 30/06/2008  до 30/06/2013, Прим: Дата проверки 08.04.08 (предписание),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Казанский район, д. Долматово, ул. Солнечная, д. 16, магазин (открыт 01.07.05)
4)Тюменская область, Казанский район, с. Огнево, ул. Центральная, д. 31, магазин (открыт 01.07.05)
",,,,
,,,,,,"5)Тюменская область, Казанский район, с. Вознесенка, ул. Центральная, д. 20, магазин (открыт 01.07.05)
6)Тюменская область, Казанский район, с. Большая Ченчерь, ул. Новая, д. 10, магазин (открыт 01.07.05)
",,,,
,,,,,,"7)Тюменская область, Казанский район, д. Новопокровка, ул. Центральная, д. 14, магазин (открыт 01.07.05)
8)Тюменская область, Казанский район, с. Ильинка, ул. Ленина, д. 15/2, магазин (открыт 01.07.05)
",,,,
,,,,,,"9)Тюменская область, Казанский район, д. Баландина, ул. Центральная, д. 23, магазин (открыт 01.07.05)
10)Тюменская область, Казанский район, с. Ильинка, ул. Советская, д. 8, кафе ""Встреча"" (общепит) (открыт 01.07.05)
",,,,
,,,,,,"11)Тюменская область, Казанский район, д. Викторовка, ул. Центральная, д. 23, магазин (открыт 01.07.05)
12)Тюменская область, Казанский район, д. Ельцово, ул. Береговая, д. 2, магазин (открыт 01.07.05)
",,,,
,,,,,,"13)Тюменская область, Казанский район, с. Афонькино, ул. Береговая, д. 2/1, магазин (открыт 01.07.05)
14)Тюменская область, Казанский район, д. Новогеоргиевка, ул. Береговая, д. 1, магазин (открыт 01.07.05)
",,,,
,,,,,,"15)Тюменская область, Казанский район, д. Благодатное, ул. Мира, д. 50, магазин (открыт 01.07.05)
16)Тюменская область, Казанский район, д. Новоалександровка, ул. Ленина, д. 32, магазин (открыт 01.07.05)
",,,,
,,,,,,"17)Тюменская область, Казанский район, с. Дубынка, ул. Ленина, д. 24, магазин (открыт 01.07.05)
18)Тюменская область, Казанский район, с. Дубынка, ул. Ленина, д. 24 а, бар ""Отдых"" (общепит) (открыт 01.07.05)
",,,,
,,,,,,"19)Тюменская область, Казанский район, д. Заречка, ул. Коммунаров, д. 35, магазин (открыт 01.07.05)
20)Тюменская область, Казанский район, с. Яровское, ул. Ленина, д. 37, магазин (открыт 01.07.05)
",,,,
,,,,,,"21)Тюменская область, Казанский район, д. Грачи, ул. Победы, д. 40, магазин (открыт 01.07.05)
22)Тюменская область, Казанский район, д. Сладчанка, ул. Центральная, д. 17, магазин (открыт 01.07.05)
",,,,
,,,,,,"23)Тюменская область, Казанский район, д. Грачи, ул. Береговая, д. 37, магазин (открыт 01.07.05)
24)Тюменская область, Казанский район, с. Гагарье, ул. Береговая, д. 12/2, магазин (открыт 01.07.05)
",,,,
,,,,,,"25)Тюменская область, Казанский район, д. Большие Ярки, ул. Терентьева, д. 24, магазин (открыт 01.07.05)
26)Тюменская область, Казанский район, д. Копотилово, ул. Центральная, д. 21, магазин (открыт 01.07.05)
",,,,
,,,,,,"27)Тюменская область, Казанский район, д. Дальнетравное, ул. Приозерная, д. 24, магазин (открыт 01.07.05)
28)Тюменская область, Казанский район, д. Чирки, ул. Ельцова, д. 55, магазин (открыт 01.07.05)
",,,,
,,,,,,"29)Тюменская область, Казанский район, с. Смирное, ул. 50 лет Победы, д. 2 а/1, магазин (открыт 01.07.05)
30)Тюменская область, Казанский район, с. Пешнево, пер. Школьный, д. 1, магазин (открыт 01.07.05)
",,,,
,,,,,,"31)Тюменская область, Казанский район, с. Кугаево, ул. Мира, д. 18, магазин (открыт 01.07.08)
32)Тюменская область, Казанский район, д. Шагалово, ул. Ишимная, д. 21, магазин (открыт 01.07.08)
",,,,
,,,,,,,,,,
116,"ООО ""Паллада"", юр.адрес: РФ, Тюменская область, 625059, г. Тюмень, ул. 70 лет Октября, д. 11/1
руков.:Хориков С.А., тел. 34-583  48-386",ИНН 7202105753  ОГРН 1027200826938 (дата регистрации 07.03.2002),07/07/2005,72-РАП №2567,06/07/2013,"1)Тюменская область, Нижнетавдинский район, с. Тюнево, ул. Мира, д. 1, магазин (открыт 07.07.05)
",продлена реш. №390 от 30/06/2008  до 06/07/2013," Прим: Дата проверки 10.09.07 (отбор проб) 2.Проверка 21.09.10 (без нарушений, отбор проб)",Управление Л и РПР ТО,
117,"ПО ""Луч"", юр.адрес: Россия, Тюменская область, Ярковский район, с. Ярково, ул. Ленина, д. 96
руков.:Лалетин В.Н., тел. (34531) 25-200  25-160",ИНН 7229008813  ОГРН  1047200575003,20/07/2005,72-РАП №2591,19/07/2013,"1)Тюменская область, Ярковский район, с. Ярково, ул. Ленина, д. 67, магазин ТПС (открыт 20.07.05)
2)Тюменская область, Ярковский район, с. Ярково, ул. Южная, д. 4, магазин ТПС (открыт 20.07.05)
",продлена реш. №429 от 18/07/2008  до 19/07/2013, Прим: Дата проверки 10.08.09 (замечание),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Ярковский район, д. Большой Краснояр, ул. Свободы, д. 23, магазин ТПС (открыт 20.07.05)
4)Тюменская область, Ярковский район, д. Верхнесидорово, ул. Механизаторов, д. 67, магазин ТПС (открыт 20.07.05)
",,,,
,,,,,,"5)Тюменская область, Ярковский район, д. Новокаишкуль, ул. Центральная, д. 69, магазин ТПС (открыт 20.07.05)
6)Тюменская область, Ярковский район, д. Новонедра, ул. Ельничная, д. 14, магазин ТПС (открыт 20.07.05)
",,,,
,,,,,,"7)Тюменская область, Ярковский район, д. Куртюганы, ул. Советская, д. 57, магазин ТПС (открыт 20.07.05)
8)Тюменская область, Ярковский район, д. Чечкино, ул. Мира, д. 22, магазин ТПС (открыт 20.07.05)
",,,,
,,,,,,"9)Тюменская область, Ярковский район, с. Сорокино, ул. Советская, д. 16, магазин ТПС (открыт 20.07.05)
10)Тюменская область, Ярковский район, с. Караульнояр, ул. Береговая, д. 17, магазин (открыт 20.07.05)
, объект закрыт решением №429 от 18/07/2008",,,,
